entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;sumber_anggota
toko sembako mas gito_jl. bojong awi kaler no.83, rt.03/rw.03;Toko Sembako Mas Gito;4.7;0.0;Jl. Bojong Awi Kaler No.83, RT.03/RW.03;Kota Bandung;Grosir Barang Kelontong;;Dwi
ahs ganis_3m3m+9c7, jl. riung purna i;AHS GANIS;5.0;2.0;3M3M+9C7, Jl. Riung Purna I;Kota Bandung;Toko Kelontong Asia;Toko Gas dan Isi ulang, cukup terkenal diriung bandung, selain itu juga melayani service segala macam alat rumah tangga, mau nge BOR air juga bisa, apapun segala service alat rumah tangga, ato yg berhubungan rumah bisa di bicarakan;Dwi
toko tata_jl. ciwastra no.263;Toko Tata;4.6;47.0;Jl. Ciwastra No.263;Kota Bandung;Ahli tembakau;Toko serba ada, koleksi bako nya lumayan dan juga berpita cukai. ||| toko tembakau recomanded ,banyak jual tembakau dan juga roko roko murah berkualitas dan legal pastinya ||| bang jualan Rokok angker click ga ya? saya orang baru diciwastra blm begitu tau daerahnya ||| Toko ini menjual berbagai macam jenis tembakau, bisa dibilang cukup lengkap, harganya pun tak begitu mahal, ||| Lengkap buat yang hobi tingwe.;Dwi
alfamart griya cempaka arum_perum. griya cempaka arum blok d01 no 25 rt 04 rw 07 kel cimencrang, ds;Alfamart Griya Cempaka Arum;4.2;134.0;Perum. Griya Cempaka Arum Blok D01 No 25 Rt 04 Rw 07 Kel Cimencrang, Ds;Kota Bandung;Minimarket;"Sukaaa promo teruss + ditawarin teruss. Tetehnya baik ramahh cuma tokonya kurang bersih, barang"" ga kotor emang tapi kurang bersih gituu ||| pada ramah personilnya, masha allah❤️ ||| alfamart yang paling gercep banget klo buka jam 6 udah buka ||| 4x mau cash out dana pasti ga bisa terus, apalagi sama kasir baru yg di kerudung blm brs ngomong udh di bilang gangguan ||| Kalau hujan besar suka banjir, pelayanan bagus. Cuman ada satu kasir perempuan yang judesnya minta ampun. Kadang beberapa karyawan juga ada kalau di tanya beberapa produk melayani dengan kurang ramah. Overall lumayan bagus";Dwi
nasi kuning (depan masjid al muhajir) a2 no. 1_blok a2, komp. bumi panyileukan jalan panineungan ii no.1;Nasi Kuning (depan masjid Al Muhajir) A2 no. 1;4.8;4.0;Blok A2, Komp. Bumi Panyileukan Jalan Panineungan II No.1;Kota Bandung;Warung nasi;Nasi kuningnya beda sama tempat lain...enaaaakk... ||| Mau donk pak dhe;Dwi
warung seblak mamah bella_jl. golf raya gg. h sobana, rt.4/rw.3;Warung seblak mamah bella;4.7;0.0;Jl. Golf Raya Gg. H Sobana, RT.4/RW.3;Kota Bandung;Toko Kelontong Asia;;Dwi
toko salwa_jl. desa cipadung no.47a;TOKO SALWA;4.4;21.0;Jl. Desa Cipadung No.47A;Kota Bandung;Toko outlet;Tempatnya nyaman Dekat jalan utama harga stabil cocok buat pedagang eceran berbelanja disini.... ||| Toko kelontong Salwa ini menjual berbagai macam kebutuhan sehari-hari secara grosir, makanan dan minuman ringan tersedia, cemilan dan jajanan anak-anak, konsumen dilayani dengan ramah, tempat dagang nyaman, harga relatif murah,  akses mudah, parkir cukup ||| Grosir tempat belanja bulanan.. menghemat lumayan ||| Semi supermarket. Tinggal ditempel harga saja di rak ||| Grosir daerah Cipadung, lumayan lengkap dan murah,,;Dwi
warung mitra sejati_3mg7+jqg, jl. cibodas raya;Warung Mitra Sejati;5.0;1.0;3MG7+JQG, Jl. Cibodas Raya;Kota Bandung;Warung Makanan Kecil;Warung  kelontong yang lokasinya berada di dalam Kampung Cibodas daerah Antapani Tengah tepatnya di RT 002 RW 022. Route masuk Gang bisa dari Gang pas toko Divya atau depot air minum isi ulang kemudian masuk ke dalam. Bisa juga masuk lewat Cibodas baru kemudian masuk Gang di Depan Paud Al-Islah atau bisa juga lewat jalan Cibodas lama. Jual makanan kecil dan kelontongan.;Dwi
warung sehat 1000 kebun_jl. golf bar. xiii no.11;Warung Sehat 1000 Kebun;4.8;194.0;Jl. Golf Bar. XIII No.11;Kota Bandung;Toko Makanan Alami;Tempatnya keren, menggemaskan, asri, nyaman! Bulk store modern di kawasan komplek di Arcamanik, tepatnya Jl. Boling, setelah masuk mengikuti petunjuk arah ke Jl. Boling, tidak jauh dari situ/jalan sedikit, berdekatan dengan Pos Satpam, sampailah ke Warung 1000 Kebun ini. Di teras depan disediakan meja-kursi. Barang-barang jualannya tertata rapi, kalau belanja ke sini sangat disarankan bawa wadah dan tas belanja/totebag sendiri, kalau tidak bawa, belanjaannya nanti diwadahi paperbag. Yang dijual cukup lengkap, seperti rempah-rempah, madu hutan, kacang almond, gula rendah kalori, sembako versi lebih sehat/organik, sayuran dan buah-buahan segar dari hasil kebun mereka, essential oil, peralatan makan dari kayu, sikat gigi bambu, soap bar natural, deodorant natural, dan masih banyak lagi. Ada juga beberapa produk organik yang masih berkemasan, sepertinya titipan, karena memang merk yang sudah cukup dikenal, seperti racikan jamu dan kombucha dari Rahsa Nusantara, rempah-rempah dari Timurasa, dan masih ada beberapa lainnya. Ada sabun hasil olahan dari minyak jelantah yang boleh ambil gratis dan bibit bunga, yang entah bunga apa namanya, gratis juga, di depan kasa. Untuk pembayaran, saya lihat pakai tunai dan ovo, kurang tahu untuk metode lainnya. Ketika bayar ditanyai nama dan no hp, setelah transaksi akan ada sms berisi link untuk mengisi semacam survey kepuasan pelanggan. Di samping kasa ada pojok baca. Ibu pemiliknya sangat ramah, namanya Ibu Kharima, katanya hari panen di sini senin dan kamis. Akses ke sini tidak dilewati oleh kendaraan umum, saya ke sini sambil sepedahan di hari minggu, dari SPOrT Jabar Arcamanik belok kanan, lurus sampai ketemu Indomaret Point (sebrangnya), ketemu jalan bercabang, masuk Jl. Boling (ada papan nama jalan), jalan sedikit bersebrangan sama Pos Satpam. InsyaAllah area sini aman, area tersebut dipantau kamera cctv 24 jam dan ada Bapak Satpam Komplek yang berjaga di situ. Selamat berbelanja! ||| Suka banget dengan W1000K yang menjual produk organik dan lokal. Produknya lengkappp dari fresh produces, pasta, beras, makanan kemasan instan sehat (kukis, VCO, sorgum kecap), dan perlengkapan menuju zero waste or conscious living. ||| Warung sehat dengan hasil kebun organik, cukup cute tempatnya, dengan penataan yang unik dan juga produk yang dijual rata rata yang jarang ada di tempat lain or di supermarket, diusahakan bawa tas belanja kalo kesini, terima pembayaran ovo / debit / credit card, konsep yang menarik dari warung ini ||| Tempatnya ga luas2 banget, tapi aku suka. Sejuk, adem. Makanan yg dijual menyehatkan sekali. ||| #NAME?;Dwi
toko gin-gin dan kosan_jl. ah. nasution no.300;Toko Gin-Gin dan Kosan;3.8;14.0;Jl. AH. Nasution No.300;Kota Bandung;Pondok;tampilan luar oke, tapi tampilan dalam ga banget terutama fasilitas yang minim sekali dengan harga yang cukup wow untuk mahasiswi. waktu itu wifi sampe nunggak 3 bulan ga di ganti² dan suka hilang sinyal, kalo anak kosan ga pada speak up mungkin sampe tahun depan ga bakal di ganti dan ibunya ga ramah sama anak kos, suka play victim. terutama tidak muslimah friendly, padahal kos khusus perempuan 😔 ||| Assalamualaikum. ||| Fasilitas kos san Gigin sangat bagus bersih dan sangat nyaman saya puas dan fasilitasnya sangat bagus semoga sukses ||| Toko Gingin ini sekarang diisi oleh X-Pro sesudah mengalami tiga kali perubahan jenis usaha, dari toko bahan bangunan lalu toko kelontong dan terakhir untuk service dan jual beli laptop-notebook-personal computer, melayani install serta menjual suku cadang computer ||| Kostannya nyaman banget, fasilitas lengkap , tempatnya strategis deket kampus;Dwi
