entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;sumber_anggota
beco burger bandung_jl. cihampelas jl. lamping no.pertigaan;Beco Burger Bandung;3.9;130.0;Jl. Cihampelas Jl. Lamping No.pertigaan;Kota Bandung;Restoran;"Sudah dibilang di catatan minta brisket bagian point yang juicy dan dengan lemak, tidak mau bagian flat yang tanpa lemak dan kering. Eh malah di kasihnya bagian flat yang tanpa lemak sama sekali dan kering. Harganya Rp 123.000 lagi. Kan bukan barang murah itu untuk 1 burger. Di catatan juga minta saos nya di kasih label, karena beli 2 macam yang beda. Eh tidak dilakukan juga 🤦🏻‍♂️. Di listing grab juga semua nya pakai gambar yang sama untuk semua saos. Cara bedainnya gimana bro? Rasa biasa aja, agak terlalu manis. ||| Jangan tertipu dengan foto di gmaps, ternyata tempatnya kecil haha.. tapi ga masalah karena burger-nya enak pisaaan.
Salah satu burger paling gong di Bandung! Dengan harga yang tergolong terjangkau dibandingkan burger lain dengan kualitas yang sama.
Bela-belain makan ini meskipun kolesterol lagi tinggi. Pulang-pulang leher langsung miring sampai besoknya (adegan dewasa tidak untuk ditiru). Tapi memang seenak itu..
Nyobain stuffed cheese dan smoked, dua-duanya enak, tapi saya lebih cocok smoked-nya. Kami pesan yang reguler, biar lebih murah hehe.. bedanya katanya hanya di isiannya.
Langsung masuk list top 5 burger di Bandung menurut versi on the spot ||| Burgernya sangat enak dengan harga yg cukup terjangkau. Porsinya sangat besar.
Daging nya sangat juicy dan tebal, mashroomnya juga enak dan burgernya topingnya melimpah, buns nya enak dan burgernya ga bikin enek

*Tidak seperti boomber burger yg bikin enek
Saran saya jangan pernah ke boomber burger lebih baik ke sini saja karna burgernya jauh lebih enak.

Sayang tempatnya kecil.

Pelayanannya ramah

Tapi yg paling penting burger nya sangat amat enak 👌 ||| Burgernya lumayan pricey tapi sebanding dengan rasanya. Kenyang banget aslinya.
Tempatnya terbatas tapi masih banyak yang kosong, tersedia juga beberapa stop kontak kalo yang mau ngecharge.
Kayanya bukan tempat yang pas buat bawa keluarga apalagi bawa anak kecil, karena banyak yang merokok. Cocoknya ya buat nongkrong bareng teman-teman. ||| Rasa burgernya ga perlu diragukan, enak, ukurannya besar banget untuk yang porsi reguler, sesuai harga. Coney friesnya ga sesuai ekspektasi, kirain pake saus keju yang keju banget rasanya (salah juga sih ga nanya, modal percaya gambar aja😅).

Kalo mau makan di tempat agak kurang nyaman. Tapi cukup oke dari penyajian, ga pake piring kertas. Servicenya lama, nunggu 40 menitan, padahal waktu datang cuma ada satu orang.";Indra
sushi rain, sushi goreng bandung_monumen perjuangan, jl. japati;Sushi Rain, Sushi Goreng Bandung;4.9;9.0;Monumen Perjuangan, Jl. Japati;Kota Bandung;Restoran Sushi;"Jajanan kekinian, untuk kalian yang belum pernah nyobain Sushi goreng ini, wajib sih nyobain sushi rain ini yang rasanya beda dari yang lain, harga pun sangat terjangkau. ||| yang paling utama higienis dan bersih.
harga terjangkau, Mozaaa nya badai ||| sushinya enak beudd beda dari yg lain ||| Yang suka sushi marii ||| Mantaps,, recomended bro,,,";Indra
kopi salarea_jl. kanayakan baru no.344 7a;Kopi Salarea;4.8;434.0;Jl. Kanayakan Baru No.344 7a;Kota Bandung;Kedai Kopi;"Okay jadi aku mau sedikit review tentang tempat ini. Oke jadi kita ulas dari
-Parkiran
Tempat ini tuh ada parkiran cuma kurang leluasa gitu nah Parkirannya ini di dekat pintu masuknya, kalau untuk parkir mobil mungkin agak susah.
-Pelayanan
Untuk pelayanannya sudah bagus ramah baik seperti pada umumnya, untuk harga juga relatif.
-Fasilitas
Untuk fasilitas di sini ada
toilet
tempat buat sholat
tempat buat nobar
tempat buat akustik
tempat duduk pastinya
terus menyediakan wastafel juga dan mematuhi prokes, suasana di sini juga nyaman.
Overal nice
Thanks! ||| Warung yang kasih promo Pagi Ngopi dari 20K, black dan white coffe jadi belasan ribu. Saya suka menu yang non-coffe, coba minuman choco cheese enak. Ada latte art di atasnya juga. Tersedia colokan, wifi, mushola, kurangnya di toilet, klosetnya tidak ada seat-nya. Tutup hanya 5 jam. ||| Kedai kopi yg buka sampe jam 3 pagi. Rame bgt kalo malem. kopi kurang kerasa kalo pesen yg avocado coffee. Wifi, toilet, colokan ada. Banyak asap rokok krna semuanya smoking area. ||| Recommended pisan ieu cafe. Tempatnya enggak sempit engga gede-gede juga, pokoknya mah pas. Buat parkir enak kok, motor & mobil cocok. Untuk makananan & minumannya oke, tapi saya sebagai pengunjung tergila-gila sama cirengnya euy, mantap pisan lah belum pernah rasain cireng kaya gitu. Terus disini bisa buat kopi pesenan sendiri loh, temen saya sih pas waktu itu yg ngerasain.
Recommended pisan, sok mau sendiri atau rame-rame cocoklah buat nongkrong. ||| Mantapp. Kopinya enakk ga hambar, kerasa kopi nya walaupun milih yang varian rasa. Gacorr !!!";Indra
kurokoffee_jl. ciumbuleuit no.130;Kurokoffee;4.6;2245.0;Jl. Ciumbuleuit No.130;Kota Bandung;Kedai Kopi;"Baru nemu tempat ngopi dengan suasana Ghibli begini. Nice concept. Tempatnya luas dan rimbun jadi adem.
Makanannya enak2 terutama biterballen dan soft cookiesnya. Penyajiannya fresh dan hangat.

Sedikit masukan untuk staffnya saat itu agak kurang ngenakin dikit, padahal staff lain oke bgt dan helpful.
Cashiernya saat itu menurutku kurang ramah, jutek engga, tapi kayak yang males ngobrol (vibesnya). Saat itu aku sempet tanya “ohiya tadi aku udah pesen angry tofu nya belum ya?” lalu beliau jawab “bisa lihat di layar depan ya untuk pesanannya” (tanpa senyum dan tatap mata customer).
Sedikit kecewa sih, padahal tinggal jawab aja udah atau belum karena di situ aku posisinya cukup pusing juga harus pesenin bbrp pesenan temanku.

Semoga bisa diperbaiki ya, karena sayang bgt tempat, makanan dan minumannya udh enak semua.
Thank you ||| Suka banget ada cafe yang serba ghibli…sedikit mengobati rindu dengan jepang. Kesini sama fanfann :)) yapping sampe lupa waktu haha karna suasananya memang senyaman ituu <3 matcha nya enakk!! ||| Suasana nya enak banget buat ngopi ,cemal cemil sambil ngobrol santai,outdoor nya nyaman ,segar dan cakep buat spot foto nya lucu lucu juga latar ala ala hantu jepang,makanan dan minumannya bervariasi yg rasa nya enak dan harga relatif standar terjangkau ||| tempatnya ngga terlalu besar tapi ok buat chill nongki apalagi untuk outdoornya, utk tempat duduknya nya menurutku yg di semi indoor ga terlalu banyak, kalo weekend cukup crowded dan untuk semi indoor lantai 2 nya lumayan panas. aku lebih reccomend di bawah atau diluar.. ada photobooth nya dari snaplab didepaan, untuk makanan beratnya ok tapi better cemilan atau dessert mereka dan minuman nya juga ok dan harga standard cafe ||| Banyak ornamen Ghiblinya di beberapa sudut tempat. Ornamen di pojok-pojok gitu, jadi bukan satu tempat semuanya Ghibli. Masih suasana cafe Ciumbuleuit banget, bagian belakang luas, open space gitu tapi karena itu bisa merokok jadi kurang ramah untuk yang ga ngerokok. Tempatnya anak muda banget. Banyak yang nugas";Indra
dreezel coffee_jl. tubagus ismail no.7;Dreezel Coffee;4.4;1122.0;Jl. Tubagus Ismail No.7;Kota. Bandung Barat;Kedai Kopi;"Dreezel Coffee menempati lokasi yang strategis, dengan akses yang mudah dan visibilitas yang jelas dari arah jalan. Area parkir di bagian depan tergolong luas, dengan sirkulasi kendaraan yang leluasa sehingga terasa nyaman saat keluar-masuk. Jarak bangunan dari jalan memberi jeda yang cukup, menciptakan suasana yang lebih tenang sejak awal kedatangan.

Karakter bangunan sudah langsung terbaca dari fasadnya. Bentuk atap limasan dengan proporsi melebar, dipadukan dengan teras depan yang dalam, menegaskan identitas sebagai bangunan bergaya kolonial Belanda yang autentik. Nuansa ini berlanjut ke dalam melalui langit-langit tinggi, bukaan lebar, serta elemen kayu yang konsisten. Pendingin ruangan menjaga kenyamanan, sementara skala ruang yang lapang menghadirkan kesan lega dan seimbang.

Area outdoor ditempatkan di bagian belakang, menghadirkan suasana yang lebih privat dan terasa terpisah dari area depan. Taman yang cukup luas dengan elemen hijau memberi nuansa yang lebih organik, mengalir, alami, dan mendukung suasana santai. Kehadiran area ini menjadi pelengkap yang selaras dengan karakter ruang dalam.

Secara keseluruhan, komposisi ruang terasa utuh, dengan transisi yang halus antara depan, dalam, dan belakang. Skala yang luas menjadi keunggulan utama, memungkinkan fleksibilitas sekaligus menjaga kenyamanan. Tempat ini menghadirkan pengalaman ruang yang konsisten, dengan karakter arsitektural yang terbaca jelas sejak awal hingga akhir. ||| Salah satu Dreezel paling nyaman dibandingkan yang lainnya. Bangunannya rumah lama gitu, area indoor dan outdoor sangat luas dan banyak meja, dan indoornya no smoking jadi ga keganggu asap rokok heheh.

Buat minumannya, chocolate nya Dreezel sih menurut aku terbaik, favorit aku yang Nazly dan Blitar (kalo ga suka yang terlalu manis). Nyobain cemilan tahu lada garamnya, enak juga. Dan mereka provide free air mineral!

Kekuranganya paling kalo di indoor, ga semua meja deket sama colokan, jadi agak peer aja kalo kudu ngecas. Tinggal bilang aja sama pegawainya, biasanya mereka kasih pinjam terminal.

Oiya sama sekedar saran, toiletnya sebenarnya luas banget tapi cuma satu, alangkah baiknya kalo satu ruang toilet besar itu dipake buat dua cubicle biar ga ngantri2 amat. ||| pas masuk kedalem suasananya kaya lagi di rumah nenek, homey dan warm. ditambah banyak hiasan hiasan yang agak antik.

makanannya okay dan kebanyakan masuk lah di lidah orang indo, tapi aku paling suka sama minuman minumannya.

selain menu kopinya yang enak, aku biasanya beli peanut butter lato. rasanya creamy manis dari susu dan rasa nutty dari kacangnya. selain diminum kita juga bisa rasain potongan kacangnya jadi ga boring.

atau kalo suka minuman coklat bisa cobain varian yang nazly, aku suka rasa coklat yang agak pait tapi tetep creamy jadinya ga enek.

service nya sangat bagus, baik dari cashier dan waiters yang melayani. selalu nyaranin menu apa yang kita pesen kalo lagi bingung, thanks a bunch sukses selalu 🙏🏻🤎 ||| Brunch date sama suami di Dreezel ini.

Minumannya kami pesan kopi dan coklat.
Rasa kopi dan coklatnya literally enak. Pesan magic dan espresso with Sumatra Beans, kombinasi pahit dan asamnya pas. Kalau suka kopi yang bold, cocok banget nih ngopi di sini.

Coklatnya pesan Nazly -dark choconya berasa, sama Adam Brothers -perpaduan coklat dan susu almond, lebih dominan susunya dan ada sensasi kacangnya- kombinasi rasanya pas banget. ☕️

Buat makanannya kami pesan nasi goreng ayam, rasa dan bentukannya itu nasi goreng kampung, pedas manis gurih… lekker deh👍🏼 jangan lupa pesen cemilannya jg, gorengan bala-bala (bakwan sayur).. bala-balanya se-crunchy itu makannya pakai saus kacang, yang seenak itu perpaduan manis pedas dan gurih.. lengkaplah pokoknya.

Makanannya masih banyak menu lain lagi, sayang cirengnya lagi kosong.

Dreezel ini tempatnya homy, karena memang di rumah bangunan Londo dan disulap buat cafe.. atmosfirnya pas masuk kayak pulang ke rumah oma/opa sendiri aja. Instragamable banget lho.. 📸

Furniturenya tahun 60-70an gitu… ada ruangan outdoornya juga buat yang mau menikmati udara Bandung yang sepoi-sepoi.. 😎

Kalau soal harga mah juaralah.. 👍🏼
No pricey2 club, terjangkau pisan ini mah.. 💰💰

Pokoknya pulang dari situ kenyang dan happylah, bisa banget buat WFC, karena suasananya tenang dan halamannya bisa muat parkiran banyak..

Fixed kalau ke Bandung bakalan balik lagi.
Thanks for the experience Dreezel 👏🏼🙏🏼 ||| Cokelatnya no debat adalah the best di Bandung. Saya pribadi suka yang Blitar. Untuk kopinya menurut saya dapat dinilai cukup enak azzah.

Tempatnya juga nyaman, menempati bekas rumah jaman Belanda dan banyak area outdoornya. Kayak berkunjung ke rumah oma/eyang. Area parkir mobilnya cukup terbatas, tapi tersedia layanan valet.";Indra
kanoko coffee dago_jl. dago asri 1 no.24;Kanoko Coffee Dago;4.7;359.0;Jl. Dago Asri 1 No.24;Kota Bandung;Kedai Kopi;Tempat yang sangat nyaman untuk yang senang udara segar dan sejuk. Cuma karena outdoor, jadi perlu berdamai dengan yang merokok (kalau ada). Banyak colokan, hanya agak jauh dari kursi, sebaiknya bawa kabel rol. Wifi mendukung untuk WFA. Bayar di awal. Minumannya cepat sekali disajikan, baru duduk sudah datang. Rasa makanan dan minuman cukup enak, hanya kurang direkomendasikan bagi yang suka minuman fresh dari buah seperti jus. ||| Tempat yang teramat nyaman. From humble beginnings, tempat andalan untuk skripsian, terus dimaintain dan berkembang biar customer semakin nyaman. Best coffee shop in Bandung 👍🏼 ||| Tempatnya super comfy buat wfc. Ada indoor & outdoor. Minuman dan makanannya juga okee. Toiletnya juga bersih dan wangi ||| Semua makanannya enak!! Personal favorite: oyakodon & dori don tartar sauce. Kopi dan matchanya enak bgt juga. Ambience-nya juara sih, selalu syahdu. Ada mushola cukup besar, sayangnya gak ada sendal jepit, tp tetep oke banget. ||| My most fave place to work recently. Ambience tenangnya dapet. Terutama yg di glass house & bawah pohon. Area merokok jauh.. dan sangat terbuka. Krn pohonnya lebih banyak, y lebih ga terasa asap2 rokoknya. But prefer ga usah banyak2 perokok. Kurang shared table aja.. Yg saya hargai, pengguna toiletnya manner banget. Butuh extended colokan listrik aja, krn kalo pas hujan, rada jauh di bbrp titik ke steker.;Indra
persegi coffee_jl. cihampelas no.144;PERSEGI Coffee;4.6;809.0;Jl. Cihampelas No.144;Kota Bandung;Kedai Kopi;"tempatnya cozy, tempatnya juga masi kedalem lagi jadi harus hati hati kalo baca maps karna suka kelewat. tapii, tempatnya cozy, viewnya bagus langsung ngeliat jembatan pasopati, fotoboxnya ga mirror, kopinya enak, makanannya juga. we love it🙆🏻‍♀️💗 ||| Tempatnya cukup nyaman untuk yang semi outdoor..., sementara untuk yang full outdoor akan terasa cukup nyaman kalau cuaca sedang tidak panas atau hujan.
Makanannya tersedia beberapa menu pilihan..., untuk minumannya juga tersedia untuk varian kopi atau non kopi.
Untuk yang mau ber-laptop ria masih bisa di spot yang semi outdoor dan agak ditengah...soalnya kalau di pinggir bisa kena tampias air hujan (kalau cuaca sedang hujan).
Tambahan: view-nya lumayan menarik ke arah jalan layang Pasoepati ||| Coffee shop ini benar-benar juara soal pemandangan. Begitu datang, mata langsung dimanjakan dengan view yang luas dan super cakep jembatan pasopati cuyyy — pas banget buat healing atau sekadar ngopi santai. Setiap sudutnya estetik, hampir nggak ada spot yang nggak fotogenik. ||| Awal masuk tempatnya sangat sangat estetik buat aku, banyak bgt spot foto apalagi mirror selfie, banyak pilihan kursi, ada outdoor dan semi outdoor jadi gaada indoor nya

Barista & Waiters nya ramah ramah, melayani dengan baik, untuk harga dan rasa makanan sangatt okee, paling best buat aku susu almond nya karena seenak ituu

Kalo kesini lebih baik malem karena bisa liat view jalan fly over dengan lampu nyala nya, best view ✨️. Dan aku saranin jgn pas musim ujan karena kalo neduh agak susah minim tempat tertutup ||| Kedua kali dateng kesini ga gagal tempat nya nyaman mau dateng malem atau siang tempat nya ok punya bersih juga yang mau liat view jembatan pasopati bisa banget kesini semoga beruntung kesini pas sedang lampu jembatannya nyalaa";Indra
pondok kopi_jl. dr. djunjunan no.27;Pondok kopi;4.6;32.0;Jl. Dr. Djunjunan No.27;Kota Bandung;Kedai Kopi;kopi nya enakk bett ||| mantap ||| arabica ||| Good taste;Indra
starbucks pvj_paris van java, unit 16b, jl. sukajadi no.131-139;Starbucks PVJ;4.5;1976.0;Paris Van Java, Unit 16B, Jl. Sukajadi No.131-139;Kota Bandung;Kedai Kopi;"Tempat ngopi yang nggak pernah sepi—selalu rame, selalu vibes 🔥

Nggak cuma kopi, di sini juga ada kopi instan, merch kece, sampai pastry & bolu slice buat nemenin nongki 🍰

Mau indoor adem atau outdoor santai? Tinggal pilih. Nongkrong bareng temen, kerja, meeting, atau sekadar nongki cantik juga cocok banget.

Bisa bawa pet 🐾, ada spot buat ngerokok juga 🚬

Intinya: ngopi, nongki, kerja—semua masuk 😉 ||| Cheese Quichenya 2x SB lain. Enak. Kopinya lebih enak diolahnya.. lebih berasa luas dan lebih tenang.
Bisa mobile order B1G1 Grande... jadi bisa stay lebih lama atau kerja bareng lebih hepi. Makanannya lebih banyak pilihan ||| Satu2nya Sbux Reserve yg ada di wilayah Bandung Raya, secara tempat sih okelah standar kek gerai sbux lain dgn dekorasi yg cukup klasik. Fasilitas standar ada free wifi yg lumayan kencang, terdapat toilet juga didalamya. Pelayanan dr Barista nya juga cukup ramah. Namun pas sy kesini sayangnya saat itu minuman ekslusif reserve nya lagi kosong dan jujur sy agak sedikit kecewa karena reserve beveragenya g ada tp it’s okay setidaknya juga msh ada beberapa food reserve yg memang ekslusif dijual di gerai sbux reserve saja. Overall menurutku tempat ini aku kasih 8/10 ||| Suasananya selalu haptic, tapi kalau hanya sekedar untuk ngopi sambil menunggu Istri dan Anak belanja di PVJ, cukup nyaman.
Staffnya ramah, dan cepat dalam memenuhi pesanan pelanggan.
Rasa kopi Americano nya konsisten, khas Starbucks dimanapun di dunia.
Untuk pilihan snack dan makanannya, enak².
Harga, ini subjektif ya, kalau menurut saya worthed.
Cafe favourite saya untuk ngopi...
Recomended! ||| Kopi paling favorite untuk saat ini.. kopinya berasa banget, ada banyak menu2 di starbucks, dan bisa custom menu sesuai dengan request kita sih.. baristanya ramah.. dan karna sudah jadi member jd banyak benefit yang di dapet.. sampe dapet cake juga sii.. dan hampir tiap hari selalu ada promo.. best laaa..";Indra
sankyōdai coffee_jl. aria jipang no.6;Sankyōdai Coffee;4.6;107.0;Jl. Aria Jipang No.6;Kota Bandung;Kedai Kopi;"Sankyodai ini letaknya ada di Travelers Inn, jadi jangan takut salah masuk yaaa! Parkirnya luas, terus tinggal masuk terus belok kanan. Tempatnya walau gak luas tapi super comfy! Dia konsep brandingnya japanese gt tp kalo tempatnya gak jepang-jepang amat sihh. Tempat duduknya enak dan pewe, not the typical kursi ngusir pelanggan yang meja sm kursinya tingginya sama dan gak ada sandaran.... Cocok mau buat nongkrong atau nugas, colokan aman, tinggal pilih tempat duduk yang sesuai.

Makanan dan minuman yang aku cobain:
✿ LIGHT BITES
Buat light bitesnya ada french fries & chicken karaage.
Sedikit bingung karena namanya french fries tapi yang dateng potato wedges? Rasanya sendiri sih menurut aku kurang asin, mungkin bisa ditambahin oregano juga or parsley buat add a lil bit of color, tp teksturnya aku sukaa :D Kalo untuk chicken karaagenya dia tipe yg digoreng kering gituu jd mirip tekstur chicken skin? sukaa tp kurang asin juga.

✿ MAIN COURSE
Main coursenya nyobain chicken katsu (saus teriyaki), chicken curry, & gyudon.
katsunya enak! garingnya pas, dalemnya masih lembut, no tulang muda! kalo saus teriyakinya kurang rasa manis buat aku, currynya typical curry indo + dikentelin pake maizena, i expect curry jepang yang biasa lebih creamy?? tp taste wise not bad dan dia ada rasa rempah + kentang wortelnya. GYUDONNYA NIKMATTTT pake lada & nasinya dibanjur sausnya YUM gak berenti ngunyah deh :)

✿ DRINKS
Minumnya aku cobain ice coffeenya, tapi jujur lupa yang apa.... Dia creamynya pas, manisnya pas, gak terlalu strong juga aman!

Overall oke, aku bisa justify harga yang cukup mahalnya dengan tempatnya yang nyaman jadi orang bisa lama-lama di situu! Tapi porsi main coursenya bukan yg gede-gede amat sih. Jadi balik lagi ke preferensi :D ||| Tempatnya lucu, mungil! Minumannya juga enak, wifinya kenceng, dateng pas malem berasa kayak di teras rumah yang comfy dan warm banget hehe ||| Kopinya juara, sesuai dengan permintaan,  mocktail nya juga gk kalah enaknya ,
Dan yg terpenting juga, pelayanan dari baristanya bagus .

Tempat ngopi yg bener bener asik dan santai buat nongkrong sambil ngobrol , ngerjain tugas kuliah dan ngerjain kerjaan disini bisa jadi opsi 👍🏽 ||| Tempat ngopi baru area ariajipang, tempatnya ada di dalam travellers inn. Tempatnya adem, mocktail kopi sate dan kebabnya enak. Wajib coba 👌 ||| Cafe yg menyatu dgn hotel OYO tapi mempunyai kelebihan yaitu tempat cukup bersih, nyaman, tenang dan aman, pelayanan cukup ramah, komunikatif dan cepat, varian makanan dan minuman tersaji tdk banyak tapi mempunyai ciri khas penyajian ala Jepang, bahan baku makanan dan minuman tersaji cukup bagus, hygienisitas terjaga dgn baik, makanan ala Jepang rasa enak sekali, harga terjangkau sesuai dgn rasa, minuman khas yg tersaji adalah teh dgn gula alami bukan berbahan dasar tebu atau essence tapi dari daun stovia sangat enak dan segar, suasana interior ruang lumayan luas dan lega tdk berimpitan, toilet bersih, parkiran terbatas tapi pengamanan ckp baik...";Indra
