entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;sumber_anggota
sawargi salon mobil panggilan bandung_jl. jatihandap, rt.03/rw.06;Sawargi Salon Mobil panggilan Bandung;5.0;10.0;Jl. Jatihandap, RT.03/RW.06;Kota Bandung;Bengkel Mobil;"Hasil nya kinclong & Bersih  ga sia"" Salon mobil di @sawargisalonmobilpanggilanbandung 👍 ||| pengerjaan detail & Bersih ||| Mantapp bossquu... ||| Bagus";Rajif
auto service_jl. kh. wahid hasyim no.448;Auto Service;3.0;1.0;Jl. KH. Wahid Hasyim No.448;Kota Bandung;Bengkel Mobil;;Rajif
gito motor jatihandap_4m46+73x, jl. jatihandap;Gito Motor Jatihandap;4.4;14.0;4M46+73X, Jl. Jatihandap;Kota Bandung;Bengkel Sepeda Motor;Bengkel profesional murah meriah bersahabat ||| Pelayanan bengkelnya sangat memuaskan ||| Penjelasannya cukup jelas, kang 👍🏻 ||| Mantap ||| Baik;Rajif
bengkel custom_3px3+wv6, jl. cinangka;Bengkel Custom;4.7;0.0;3PX3+WV6, Jl. Cinangka;Kota Bandung;Bengkel Ketok Magic;Tetangga gw nih, handal.;Rajif
pool bus harum group_jl. padasuka no.29;Pool Bus Harum Group;4.0;1.0;Jl. Padasuka No.29;Kota Bandung;Bengkel Mesin Diesel;Naik bus medium dalam rangka fieldtrip siswa Taman Kanak Kanak. Pelayanan ramah dan kru juga ramah. Kondisi bus baik dan terawat.;Rajif
bengkel piper pirodo_jl. cicabe;Bengkel Piper Pirodo;5.0;13.0;Jl. Cicabe;Kota Bandung;Bengkel Sepeda Motor;Mantep harga terjangkau, rem belakang pakem lagi 👍👍 ||| pelayanan ramah mantap bintang 5 ||| Mo nanya  apa bisa lubangin supaya  vsrio ngga Gredek saatvini awal Atau nanjak ||| Pelayanan yg ramah benar2 solusi... ||| Mantap sekali ownernya ramah;Rajif
fick autocar_jl. padasuka no.17;Fick Autocar;4.0;4.0;Jl. Padasuka No.17;Kota Bandung;Bengkel Jok Kursi Mobil;Rute nya mudah di jangkau,dan pelayanan nya bagus sekali ||| 👌👍👍👍 ||| Xplor atau xtr ver;Rajif
hs 69 bengkel mobil motor_jl. cinangka no.155;HS 69 Bengkel Mobil Motor;4.7;0.0;Jl. Cinangka No.155;Kota Bandung;Bengkel Mobil;;Rajif
rockrack overland (spesialis rooftent)_jl. tanjakan panjang no.12;ROCKRACK OVERLAND (SPESIALIS ROOFTENT);5.0;8.0;Jl. Tanjakan Panjang No.12;Kota Bandung;Bengkel Mobil;Pelayanan baik dan ramah. Recommended ||| Tenda murah tp kualitas ga murahan ||| kualitas tanpa batas ||| Mantaaaappppp;Rajif
bengkel vespa haji kobur ttaj_jl. jamaras i gg. jamaras no.1;Bengkel vespa Haji Kobur ttaj;5.0;1.0;Jl. Jamaras I Gg. Jamaras No.1;Kota Bandung;Bengkel Bongkar Pasang Mesin;Joss;Rajif
"towing ""bandung sekajadi""_jl. jamaras i no.182a, rt.04/rw.16";"Towing ""Bandung Sekajadi""";5.0;6.0;Jl. Jamaras I No.182A, RT.04/RW.16;Kota Bandung;Jasa Derek Mobil;"Pelayanan derek mobil Cicaheum ini top banget. Mobil mogok jam 1 pagi di sekitar Terminal Cicaheum, saya telpon langsung diangkat. 20 menit crew sudah datang, ramah dan jelasin prosesnya. Harga transparan, nggak ada biaya aneh-aneh. Recommended buat yang butuh bantuan darurat area Bandung Timur. ||| ""Jasa derek mobil di Cicaheum Bandung sangat memuaskan! 🚗💨 Timnya cepat tanggap, harga kompetitif, dan pelayanan ramah. Saya sangat puas dengan hasilnya, terima kasih!"" 😊 ||| Solusi kendaraan mogok area bandung
Pelayanan cepat unit derek beragam,crew perpengalaman, harga oke ||| Puas pakai jasa derek mobil Bandung buat mindahin mobil mogok dari Dago ke bengkel di Kopo. Adminnya ramah, fast respon via WA, titik shareloc langsung dipahami. Sopir datang tepat waktu, unitnya bersih dan pakai sabuk pengaman ban jadi nggak lecet. Harganya paling masuk akal dibanding 3 tempat lain yang saya tanya. Bakal langganan. ||| Towing mantap";Rajif
neon box bandung king advertisement_jl. sirnagalih no.47;Neon Box Bandung King advertisement;5.0;1.0;Jl. Sirnagalih No.47;Kota Bandung;Bengkel Mobil;Good;Rajif
rif-q motor_jl. jatihandap no.23;Rif-Q Motor;4.2;13.0;Jl. Jatihandap No.23;Kota Bandung;Bengkel Sepeda Motor;"Udah 4kali benerin kerusakan motor disini, semuanya ga ada yang bener, pernah satu hari ganti pas sore sore sampe rumah langsung rusak lagi kirain motornya yg bermasalah alhasil ganti bengkel lain eh bener ga pernah trouble sampe sekarang, boncos banget kebengkel ini dari yang harusnya cuma ngeluarin uang sekali jadi harus ke bengkel lain buat ganti lagi dan masalahnya itu ga cuma sekali saya 4 kali kebengkel lain buat benerin hasil dari bengkel ini, maaf ya kalau bisa kedepannya diperbaiki lagi buat kenyamanan bersama🙏🏻 ||| Oke juga nih tempat
Kecil tp enak kalau agan agan mau nyervice motor di daerah jatihandap
Montirnya ramah dan terima motor apa aja dalam kondisi apa aja
Kerja juga boleh lah
Tapi bengkel ini kurang di kelengkapan sparepart
Dan ingat ini bengkel biasa bukan bengkel yg jual barang modifan, jadi bisa dibilqng pengetahuan barang modif mungkin kurang ||| beda ucapan Montir sama Pemilik, Jadi malah Double Bayarnya,, Tekorrr👎👎 ||| Ramah ||| Minta no wa nya a";Rajif
4m3j+3p7 sindang jaya, kota bandung, jawa barat_4m3j+3mg, jl. arcamanik;4M3J+3P7 Sindang Jaya, Kota Bandung, Jawa Barat;5.0;1.0;4M3J+3MG, Jl. Arcamanik;Kota Bandung;Toko Aki Mobil;;Rajif
indra autoservice panggilan bisa di tempat_jl. cikadut no.18;Indra Autoservice panggilan bisa di tempat;5.0;18.0;Jl. Cikadut No.18;Kota Bandung;Bengkel Mobil;Mantap mekaniknya ..mobil sy JD enak bnget d pakainya ..udah beberapa bengkel sy coba..cuma d bengkel  indra auto service yg paling mantap ||| bisa antar jemput kendaraan yg mau diservis itu poin plus banget ||| mantap ..pokonya puas.mobil tadinya gak enak di pake.setelah service di bengkelnya Indra autoservice.jadi josass...thxs ||| Mobil saya abis di service disini joss lagi apalagi alat nya juga komplit ||| Bengkelnya bagus, mekanik profesional dan harganya juga terjangkau👍;Rajif
bengkel mobil_komplek griya jatiputra 42;BENGKEL MOBIL;5.0;3.0;KOMPLEK GRIYA JATIPUTRA 42;Kota Bandung;Bengkel Mobil;"Setiap ada masalah sama mesin mobil, pertolongan pertamanya selalu ke sini. Mantap! 👍 ||| Montirnya mantap, tempatnya nyaman. ||| Amanah.. Dan sangat bersahabat ||| Lagi naik ke tanjakan, mobil saya mogok.
Lalu cari bengkel sekitar, langsung ketemu pak Dadang yang bantuin.

Pak Dadang responsif, dan juga gerak cepat. Harga service dan sparepart bersahabat, ga asal ketok harga.

Terima kasih pak Dadang, bila kalian ada kendala di daerah sekitar, saya sangat recommend untuk service ke pak Dadang. 🙏🏻 ||| Terimakasih pak Nanang sdh membantu kesulitan kendaraan kami di vila sindangwaas....problem di fuse & relay alphard....pelayanan ramah dan cakap....next jika ada trouble kami akan kontak bapak. ||| Recommended sesalu kasih solusi yang terbaik setiap part apa yang mau dikerjakan. Hasil pengerjaannya okee bangetttt ||| Servis transmisi chevrolet captiva diesel 2.0L ||| Pak Nandang ramah, pengalaman dan cepat melayani...sy ganti master rem dan wheel cylinder brake";Rajif
