"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Planet Ban Padasuka","4.5","111","Jl. Padasuka No.59","Kota Bandung","Jawa Barat","ID","https://lokasi.planetban.com/planet-ban-jalan-padasuka-pasirlayung-motorcycle-repair-shop-kota-bandung-bandung-393987/Home?utm_source=locator&utm_medium=googleplaces","+62 817-0006-055","Bengkel Sepeda Motor","Bengkel Motor Skuter","Toko Suku Cadang Motor","Layanan ban","Toko Ban",,,,,,"https://www.google.com/maps/search/?api=1&query=Planet%20Ban%20Padasuka&query_place_id=ChIJoY_FYw7naC4RGeO8ca3rvug","Bengkel Sepeda Motor"
"Bj Bengkel Motor",,,"Jl. Dr. Djunjunan No.24","Kota Bandung","Jawa Barat","ID",,"+62 813-2429-5767","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bj%20Bengkel%20Motor&query_place_id=ChIJzTS9-WTmaC4R0d8uhdWQsXU","Bengkel Mobil"
"Apotek Asri","4","1","Jl. Titiran No.16","Kota Bandung","Jawa Barat","ID",,"+62 22 2507293","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Asri&query_place_id=ChIJp9bHmVLmaC4RykBJ0A8vVFk","Apotek"
"Apotek Prabu Jaya Farma","5","3","Jl. Pasir Impun No.133","Kota Bandung","Jawa Barat","ID",,"+62 811-2233-640","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Prabu%20Jaya%20Farma&query_place_id=ChIJYRIB_HrdaC4RcWoJ4nsPMek","Apotek"
"Apotek Prima Jaya","4.3","102","Jl. Tubagus Ismail II No.6","Kota Bandung","Jawa Barat","ID",,"+62 22 2503540","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Prima%20Jaya&query_place_id=ChIJF0ucXP_maC4RsGTdPx2xXOI","Apotek"
"apotek kahfi farma","4","39","Jl. Ciumbuleuit No.176","Kota Bandung","Jawa Barat","ID","http://www.wangunsari.com/","+62 22 64403199","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=apotek%20kahfi%20farma&query_place_id=ChIJm3xjVqTnaC4R0WM3MalirP4","Apotek"
"Apotek Kimia Farma, Gegerkalong","4.1","125","Jl. Gegerkalong Hilir No.33","Kota Bandung","Jawa Barat","ID","http://kimiafarmaapotek.co.id/","+62 811-2157-684","Apotek","Klinik Kesehatan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Kimia%20Farma%2C%20Gegerkalong&query_place_id=ChIJLzOzhZbmaC4RQPmxJ6uyOLY","Apotek"
"Apotek Sahaja","5","3","Jl. Sukagalih No.48","Kota Bandung","Jawa Barat","ID",,"+62 821-2714-9848","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Sahaja&query_place_id=ChIJKbOBrV7naC4Rt6nZSksGvtE","Apotek"
"dr Amelia DN Sugiharta, SpKJ (Praktik Psikiatri) - Apotek Baladewa Farma 3","5","24","Jl. Gegerkalong Hilir No.65","Kota Bandung","Jawa Barat","ID",,"+62 822-6034-3387","Klinik Medis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=dr%20Amelia%20DN%20Sugiharta%2C%20SpKJ%20(Praktik%20Psikiatri)%20-%20Apotek%20Baladewa%20Farma%203&query_place_id=ChIJJULkSf_naC4RXjQcsYFoiD0","Klinik Medis"
"Apotek mayfarma","5","2","Jl. Jatihandap No.36B","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20mayfarma&query_place_id=ChIJhW6pzN_naC4RpP9whK5MTvs","Apotek"
"Apotek Arsaya",,,"Jl. Ciumbuleuit No.109","Kota Bandung","Jawa Barat","ID","https://klinikarsaya.com/apotek","+62 813-3885-4439","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Arsaya&query_place_id=ChIJM_sMv7jnaC4Rw8x0D94WC40","Apotek"
"Apotek Griya Farma Jatihandap","4.8","25","Jl. Jatihandap No.20","Kota Bandung","Jawa Barat","ID",,"+62 815-7223-3772","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Griya%20Farma%20Jatihandap&query_place_id=ChIJp5Dt-o3naC4RdrVtpqZSMRc","Apotek"
"Apotek Rayla","4.1","34","Jl. Jatihandap No.24","Kota Bandung","Jawa Barat","ID",,"+62 895-1412-1471","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Rayla&query_place_id=ChIJZW-AP5jnaC4RdVdSzzfLI50","Apotek"
"Apotik Moria","4.3","36","Jl. Cikutra No.148","Kota Bandung","Jawa Barat","ID",,"+62 22 7273096","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotik%20Moria&query_place_id=ChIJWe0F573naC4RLB_HZUsU4L0","Apotek"
"Apotek Gerlong Girang","4.8","25","Jl. Gegerkalong Girang Baru No.2D","Kota Bandung","Jawa Barat","ID",,"+62 882-2090-3610","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Gerlong%20Girang&query_place_id=ChIJq6ytaQvnaC4Rus6Y4M4VxDQ","Apotek"
"Apotek An Nur","3","4","Jl. Dr. Setiabudhi No. 63","Kota Bandung","Jawa Barat","ID",,"+62 22 2031922","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20An%20Nur&query_place_id=ChIJjUhphjXhaC4Rt1ywN4fepdw","Apotek"
"Apotek Mega Farma","4.1","8","Jl. Sukamulya No.17","Kota Bandung","Jawa Barat","ID",,"","Toko Obat Organik","Apotek",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mega%20Farma&query_place_id=ChIJGc1AmmLmaC4RA54HxqKJ8vc","Toko Obat Organik"
"Apotek Atminah","4.2","5","Jl. Jurang No.No","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Atminah&query_place_id=ChIJC-XKcPXmaC4Rt9oTjLh5XCA","Apotek"
"Apotek Suka Senang","4.8","16","Surapati Core, Jl. Khp Hasan Mustopa Blok L No.27","Kabupaten Bandung","Jawa Barat","ID",,"+62 22 61664214","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Suka%20Senang&query_place_id=ChIJa_BdeZHnaC4R3NqEOcktN9U","Apotek"
"Apotek Ciumbuleuit","4","34","Jl. Ciumbuleuit No.170","Kota Bandung","Jawa Barat","ID",,"+62 877-8755-5527","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Ciumbuleuit&query_place_id=ChIJc-xyglvnaC4RgKiPwZSv49U","Apotek"
"Apotek Adista","4.4","9","Jl. Citarum No.39","Kota Bandung","Jawa Barat","ID",,"+62 22 7103821","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Adista&query_place_id=ChIJD3jGgbPnaC4RVo9LV9M5JIQ","Apotek"
