"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Layanan","reviewContext/Negatif","reviewContext/Positif","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewImageUrls/49","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"Sawargi Salon Mobil panggilan Bandung","5","Hasil nya kinclong & Bersih  ga sia"" Salon mobil di @sawargisalonmobilpanggilanbandung 👍","2024-12-13T11:29:28.293Z","0","dea lestari","1","false",,,"id","setahun lalu",,,,,"ChZDSUhNMG9nS0VJQ0FnSUN2amNEaU93EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN2amNEaU93EAE!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgICvjcDiOw%7C%7C?hl=id","116072580454257149350","https://lh3.googleusercontent.com/a/ACg8ocK3s9slTMW115p6I_CrGaK-brtqLKBiguHzmu1BpUKl6BZZlg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/116072580454257149350?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5","pengerjaan detail & Bersih","2024-12-25T08:31:40.885Z","0","Iam Maryam","2","false",,,"id","setahun lalu",,,,,"ChdDSUhNMG9nS0VJQ0FnSUR2ei1ILXdBRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR2ei1ILXdBRRAB!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgIDvz-H-wAE%7C%7C?hl=id","103671694428547431810","https://lh3.googleusercontent.com/a/ACg8ocL0woHdK9Bi7AAcdacj6h8p_rjfu1i5pUIf8keneJpbdpp6Ew=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103671694428547431810?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5","Mantapp bossquu...","2025-01-22T11:15:25.276Z","0","Desy Bahar","1","false",,,"id","setahun lalu",,,,,"ChZDSUhNMG9nS0VJQ0FnSURfbko2QkZ3EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfbko2QkZ3EAE!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgID_nJ6BFw%7C%7C?hl=id","116971798531713696702","https://lh3.googleusercontent.com/a-/ALV-UjVrYbYOy_I0Dx8c-qvyd40BAwSSLak3iz61tXn7BGqlYxZYFOk=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/116971798531713696702?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5","Bagus","2025-01-22T17:32:09.648Z","0","Rival Faisal","2","false",,,"id","setahun lalu",,,,,"ChZDSUhNMG9nS0VJQ0FnSURfZ3RTYktREAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfZ3RTYktREAE!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CIHM0ogKEICAgID_gtSbKQ%7C%7C?hl=id","111442282860566201454","https://lh3.googleusercontent.com/a-/ALV-UjWqNbbrpmC1sG3M6DmsFbxu0B0_7FF7kcnqbTlhqEGjx455xZw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111442282860566201454?hl=id",,,
"Sawargi Salon Mobil panggilan Bandung","5",,"2025-11-25T11:26:13.264Z","0","Riky Wahyudi","0","false",,,,"6 bulan lalu",,,,,"Ci9DQUlRQUNvZENodHljRjlvT21SV1dsTnBlbFJtTkRBM1MyaFRaV3hIZFY4elduYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SV1dsTnBlbFJtTkRBM1MyaFRaV3hIZFY4elduYxAB!2m1!1s0x0:0x1b8afd0e3abfdf61!3m1!1s2@1:CAIQACodChtycF9oOmRWWlNpelRmNDA3S2hTZWxHdV8zWnc%7C%7C?hl=id","107013359453685781239","https://lh3.googleusercontent.com/a/ACg8ocIgn4dDsNTXvaQaXr5IGKHbQcLIU6AMVOayObbiKXJNW-ng4A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107013359453685781239?hl=id",,,
"Auto Service","3",,"2021-09-23T06:28:50.220Z","0","yusuf permana","1","false",,,,"4 tahun lalu",,,,,"ChdDSUhNMG9nS0VJQ0FnSUQ2bkpLWWx3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ2bkpLWWx3RRAB!2m1!1s0x0:0xb6ebc2d151b59339!3m1!1s2@1:CIHM0ogKEICAgID6nJKYlwE%7C%7C?hl=id","102638494442902019007","https://lh3.googleusercontent.com/a-/ALV-UjUvD13OSWv74RpV1u8ZgPeSkvH9Dhp8YVt1eh-pd1xsztJDAgON=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102638494442902019007?hl=id",,,
"Gito Motor Jatihandap","5","Bengkel profesional murah meriah bersahabat","2022-01-09T05:26:02.351Z","0","Maryadi Raharjo","160","true",,,"id","4 tahun lalu",,,,,"ChdDSUhNMG9nS0VJQ0FnSUNtODl2T3hRRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNtODl2T3hRRRAB!2m1!1s0x0:0xa6e78e2c9e3c793b!3m1!1s2@1:CIHM0ogKEICAgICm89vOxQE%7C%7C?hl=id","113702146435160095041","https://lh3.googleusercontent.com/a-/ALV-UjUq_HZMEMqgklpshlX8HFrZ2ug9HVJQTcOOx2TheR6NK7PR1UI=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/113702146435160095041?hl=id",,,
"Gito Motor Jatihandap","5","Pelayanan bengkelnya sangat memuaskan","2016-11-13T23:25:45.777Z","0","Ida Kartini","1","false",,,"id","9 tahun lalu",,,,,"ChZDSUhNMG9nS0VJQ0FnSURRbXVHX2F3EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURRbXVHX2F3EAE!2m1!1s0x0:0xa6e78e2c9e3c793b!3m1!1s2@1:CIHM0ogKEICAgIDQmuG_aw%7C%7C?hl=id","103379544994320227084","https://lh3.googleusercontent.com/a/ACg8ocI4AoFzm3KEnT50SymzBZbY93ysgAsIyfCTc7-J9s_H9Ymd3Q=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103379544994320227084?hl=id",,,
"Gito Motor Jatihandap","5","Penjelasannya cukup jelas, kang 👍🏻","2024-03-18T21:03:15.277Z","0","Adi Brata","63","true",,,"id","2 tahun lalu",,,,,"ChZDSUhNMG9nS0VJQ0FnSUQ5LVo2aU9nEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ5LVo2aU9nEAE!2m1!1s0x0:0xa6e78e2c9e3c793b!3m1!1s2@1:CIHM0ogKEICAgID9-Z6iOg%7C%7C?hl=id","103654463297411534441","https://lh3.googleusercontent.com/a-/ALV-UjXoClV3QaWeQIZfkyxVLcQwJCFU9QqqIOyeYChKvfWiPeXYCSc=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/103654463297411534441?hl=id",,,
"Gito Motor Jatihandap","5","Mantap","2022-10-05T09:31:42.213Z","0","MuhammadRizky","4","true",,,"id","3 tahun lalu",,,,,"ChZDSUhNMG9nS0VJQ0FnSURlX0liSExREAE","https://lh3.googleusercontent.com/grass-cs/ANxoTn3Jq_-c1OKsCBoxNDAZY_Dk4Wxa4zLlF_S6vWycaFs4iMQl4AjBMn-LGNbgL8tPE87T85SencUJuWaHZERC7W0JcTrSOfdXNHiivsIqTRraFmKXq9GHY5kSwuBW9N1AlVMOr24Dtw=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlX0liSExREAE!2m1!1s0x0:0xa6e78e2c9e3c793b!3m1!1s2@1:CIHM0ogKEICAgIDe_IbHLQ%7C%7C?hl=id","117751205629271498431","https://lh3.googleusercontent.com/a-/ALV-UjUeP3NapPgotioxCsCMP2pzd8Wk_JVMouoda8FN0tDk1lPAHel5=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/117751205629271498431?hl=id",,,
