"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Layanan","reviewContext/Positif","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"Bengkel Motor Dmn KRW MOTOR","4","Dateng buat ganti oli, pelayanan oke teknisinya juga gesit dan ramah. Posisinya strategis pinggir jalan phh mustofa. Pembayaran juga bisa menggunakan qris. Pilihan olinya juga banyak, mantep deh pokoknya","2023-11-09T09:08:22.842Z","0","Wawah Sri","70","true",,,"id","2 tahun lalu",,,,"ChZDSUhNMG9nS0VJQ0FnSURGN1piOFhBEAE","https://lh3.googleusercontent.com/grass-cs/ANxoTn0udqxI9EDfAqEHMA81b5pig0CcjU9qzbWEL5eEhng4gYPlQ1h05iCKSz6Q9ji1ePLqMu3fvei1__dFcXbbvIkLj5jJuip_L8j7iBEJLmAvR5-ESqqhSLzWutchoXiIRPMiopIZ4A=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Kpm3Bo48VFOxKsalMMvruRMVIjn32NnewWuHYRy_FDR-o7SxiE7vr_gvaB97mqcQGqsKohh_WLcpSNoQ5bBbMYi2r7oCvzhSQtOXgsDiODNyRYCXMKTA_KG-x9oqAfWfrvDwd=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3L25N-thV1ljki03s2LXVp7X6KJqB4vsk2SagOFTIRr_0cLItbf2Zd5ciWJwGY6pAlktoKxXpsyLWTvMc7f6v0h3sRP0UEOvW8P3hxhEb8p4KpWSmPkD0KA7KTd0eUhgKciguqIw=k-no",,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGN1piOFhBEAE!2m1!1s0x0:0xe4a76d767cf3e198!3m1!1s2@1:CIHM0ogKEICAgIDF7Zb8XA%7C%7C?hl=id","111155868284642706468","https://lh3.googleusercontent.com/a-/ALV-UjXxLI5yInGvbGTmO6LOJ4zivmM7g3aeWq3ztR25Jxzw16jBiTv8=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/111155868284642706468?hl=id",,,
"Bengkel Motor Dmn KRW MOTOR","5","Montirnnya jago","2025-07-07T03:01:32.494Z","0","bima sakti fh","4","false",,,"id","11 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT25kSU5Xa3RSa0o2VUhSRmJUbFlWVlZ1VWxBNVdVRRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kSU5Xa3RSa0o2VUhSRmJUbFlWVlZ1VWxBNVdVRRAB!2m1!1s0x0:0xe4a76d767cf3e198!3m1!1s2@1:CAIQACodChtycF9oOndINWktRkJ6UHRFbTlYVVVuUlA5WUE%7C%7C?hl=id","114063018610728514104","https://lh3.googleusercontent.com/a/ACg8ocLnPSrJISyA0FNkf1H2bsoB_I7R96h6G9_CZnuQxu5s5zxV4A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114063018610728514104?hl=id",,,
"Bengkel Motor Dmn KRW MOTOR","1",,"2023-04-12T23:11:22.933Z","0","Aldy Nurrochman","40","true",,,,"3 tahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSUNSdDViZnJnRRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSdDViZnJnRRAB!2m1!1s0x0:0xe4a76d767cf3e198!3m1!1s2@1:CIHM0ogKEICAgICRt5bfrgE%7C%7C?hl=id","107625082104742421485","https://lh3.googleusercontent.com/a-/ALV-UjXNlIEmRVP0HEoJA3uLbvJ_v-Xi0GIGRgvZMUlPW3rK64a0-RiVdA=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/107625082104742421485?hl=id",,,
"Bengkel Vespa MSRT","5","Mantap","2020-09-05T09:02:37.528Z","1","Wahyu Budiman","6","false",,,"id","5 tahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSUNDLTViMTdRRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn2_rNa5yDnBcYhrKNPi0S9j3b8r01Z8B_MzXwj-aau0QMTh7VaAaBDekcKD6GvfkDZsBHDGrvIkZx5axmCY2MuMw8s7FbfMe4Jr7gGnMRhWZ5cMVAKcR8qe2s_IUKc6G4daJf7_Iw=k-no",,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNDLTViMTdRRRAB!2m1!1s0x0:0xef1e729fdd832070!3m1!1s2@1:CIHM0ogKEICAgICC-5b17QE%7C%7C?hl=id","101727133300930175069","https://lh3.googleusercontent.com/a-/ALV-UjUnQd5dRmFPu0z_SVNB939p-wxxa4zWHgqGdZ4akAfIqZ_ucvo=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101727133300930175069?hl=id",,,
"Bengkel Vespa MSRT","5","Best","2019-12-13T09:42:03.338Z","1","Roronoa Indro","13","true",,,"en","6 tahun lalu",,,,"ChZDSUhNMG9nS0VJQ0FnSURNNE1mRUZnEAE",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURNNE1mRUZnEAE!2m1!1s0x0:0xef1e729fdd832070!3m1!1s2@1:CIHM0ogKEICAgIDM4MfEFg%7C%7C?hl=id","109431917427657583552","https://lh3.googleusercontent.com/a-/ALV-UjVBLEnF4P50kVtKQXRKB0UshCZHcWI6F24WEjLZb0gFQxDWAqnc=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/109431917427657583552?hl=id","Terbaik","id",
"Bengkel Vespa MSRT","5",,"2021-06-18T02:00:40.654Z","0","Tanu Vespa","0","false",,,,"5 tahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSUNxcy1xcy13RRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNxcy1xcy13RRAB!2m1!1s0x0:0xef1e729fdd832070!3m1!1s2@1:CIHM0ogKEICAgICqs-qs-wE%7C%7C?hl=id","112751170962844809192","https://lh3.googleusercontent.com/a/ACg8ocJ9pgf--60cX4dPiGaTZ72IvNBC3Qcnw-Cj2egJotsLCoivSQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112751170962844809192?hl=id",,,
"DISINIADASETANG (Jasa Roll Pipa & Bengkel Motor Custom )","5","Mantep sambil nongkrong","2025-05-30T10:46:42.817Z","0","Akalifa 13","5","false",,,"id","setahun lalu",,,,"ChZDSUhNMG9nS0VLdkpzTHUtMTR2LWNREAE","https://lh3.googleusercontent.com/grass-cs/ANxoTn1jYLpRi-kO11Ave9n2ZHD06rNmcQTS4L80IBAUPf1XH6PGDX2gia4fn-vXMqW896Uzxt1H8dKK0Wzqc-iyQdNGfCVFgXjQubiEh5-W2HahDf9jch5xxoVd7fR28fshEw-xfQut=k-no",,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VLdkpzTHUtMTR2LWNREAE!2m1!1s0x0:0x840d382301c88b5e!3m1!1s2@1:CIHM0ogKEKvJsLu-14v-cQ%7C%7C?hl=id","108463355048114706687","https://lh3.googleusercontent.com/a-/ALV-UjUqpyUOzk9YN0oy7xdLX6WFb5QcyJdJg8gqNIySp34me-mlmlun=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/108463355048114706687?hl=id",,,
"DISINIADASETANG (Jasa Roll Pipa & Bengkel Motor Custom )","5","Madep ini,mau request bisa,fitting boleee,bikin motor okeee","2025-05-14T08:10:04.533Z","0","dika taufik","4","true",,,"id","setahun lalu",,,,"ChdDSUhNMG9nS0VPLWFtNTd0NzdyQmd3RRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VPLWFtNTd0NzdyQmd3RRAB!2m1!1s0x0:0x840d382301c88b5e!3m1!1s2@1:CIHM0ogKEO-am57t77rBgwE%7C%7C?hl=id","112213727149476274136","https://lh3.googleusercontent.com/a/ACg8ocIRg9hFr1eOqG8QVITRSqKmwRv-VSmRIxFNp0WGoSwLIf3gfQ=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/112213727149476274136?hl=id",,,
"DISINIADASETANG (Jasa Roll Pipa & Bengkel Motor Custom )","5","Pelayananyaa terbaikkk bestt bgt⭐️⭐️⭐️⭐️⭐️","2025-05-30T09:47:48.980Z","0","bbycldia Myptri","1","false",,,"ms","setahun lalu",,,,"ChdDSUhNMG9nS0VPcTJxYjJEcVlqUnl3RRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn1xmJTHePiTvnm35X8Hw08AkGmvFaoqRYeNh6S6fIVsNslkSYlostnKozu-8Lqw5XWGPY_XePKXXLP4YvR0xcL4nyIcqhaPKBAVoJzl3l6XOWBaeibyLVTOOarhQLKq3W-C2YO7QQ=k-no",,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VPcTJxYjJEcVlqUnl3RRAB!2m1!1s0x0:0x840d382301c88b5e!3m1!1s2@1:CIHM0ogKEOq2qb2DqYjRywE%7C%7C?hl=id","106414881122766513010","https://lh3.googleusercontent.com/a/ACg8ocJ2hDK5529WthLWg4CiAoILBoIn6JD8ahTqJLGvnAn1Z3j_KQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/106414881122766513010?hl=id","Pelayanannya terbaik, terbaik⭐️⭐️⭐️⭐️⭐️","id",
"DISINIADASETANG (Jasa Roll Pipa & Bengkel Motor Custom )","5",,"2026-03-12T06:37:50.982Z","0","disiniadasetang garage","0","false",,,,"3 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT210VmJXNVJVMlIyVWtaaWRGRjVaak5ZYWxObVMyYxAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210VmJXNVJVMlIyVWtaaWRGRjVaak5ZYWxObVMyYxAB!2m1!1s0x0:0x840d382301c88b5e!3m1!1s2@1:CAIQACodChtycF9oOmtVbW5RU2R2UkZidFF5ZjNYalNmS2c%7C%7C?hl=id","115431005441265200005","https://lh3.googleusercontent.com/a-/ALV-UjWXN1IJozV5ocxyN5i3VbdFmiFpn87l8hGfZbETEUbwHk0nL58=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/115431005441265200005?hl=id",,,
