"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Layanan","reviewContext/Positif","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewImageUrls/49","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"Planet Ban Padasuka","5","Pelayanan sangat responsif , ramah meskipun ganti oli saja tetap d beri edukasi untuk spesifikasi oli yg cocok untuk motor saya","2025-09-25T01:02:31.377Z","0","Afrilian Sulistianto","2","false","2025-09-25T03:03:15.000Z","Dear Afrilian Sulistianto,Terima kasih atas ulasan Anda! Kami senang Anda puas dengan layanan kami. Kami akan terus menjaga kualitas dan pelayanan terbaik untuk Anda.","id","8 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT2xoYVN6TkhXbmxNVHpKa1RGTmZPVTVrZFRSYWJHYxAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn0qIx6x-bKXrh1tgj2mcA8Ho1Z7Iy9LMU3lrxn4YAQGH9rLui1xd8lOhWC2I8UVjc49So4XubbRKzk2aU70fwAgPnuQj43mFunJilBWNe3515Siua_4a8lyO9v2AvLim3nAUmWCuzjcZ5Vr=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1CWg0_aaF74ntvYvbZOUEUjmais7gJgVKTEOat472g5foNBmlsLpTFf45n73XcSPvU-BnehLRpE-n2RXhxiqrHxIsGiuJHt7om770Nw_MyaYcA8M0-iFNr_SeyrPq0D__3LgGT6fS-Ir6q=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0O90y31DLZMcyJJGCqdq4ksbiUQCnmY-8R_5CtBTXfR87i2pHFCfoUlWE_KjQRtufmNQyAx3J5vKR7ffuoBaxQO2nDpZDYvF81Jzo1pT0_5gXJonX0hIla6wyRv1b6F1R46uaQ_FDK3LQ=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoYVN6TkhXbmxNVHpKa1RGTmZPVTVrZFRSYWJHYxAB!2m1!1s0x0:0xe8beebad71bce319!3m1!1s2@1:CAIQACodChtycF9oOlhaSzNHWnlMTzJkTFNfOU5kdTRabGc%7C%7C?hl=id","102463136905254760160","https://lh3.googleusercontent.com/a/ACg8ocI-J9aR6t7-T9KAS29VY-5queqEBlsfe_X_m1tpdA8ZKLhe4g=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102463136905254760160?hl=id",,,
"Planet Ban Padasuka","5","pelayanan karyawan bagus dan harganya banyak diskon, rekomendasi banget ganti ban di sini 😍","2025-09-25T08:09:42.666Z","0","Agus Taryana","2","false","2025-09-25T08:25:16.000Z","Dear Agus Taryana,Terima kasih atas ulasan Anda! Kami senang Anda puas dengan layanan kami. Kami akan terus menjaga kualitas dan pelayanan terbaik untuk Anda.","id","8 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT25sWlNUVjNiVzVvY1hjMlRXNTZlamRGYm5sM01WRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn2FGfWfg2Tcex-MAsnJXSeBsYvr7ayao1jX4-WBcaMOfftlx0P5H1cqOHRpjYKz4zxxj3NsFnIyPQVoMSlIAHKjvPa9T_NycJTi2HVV9hWAxYtWSYAn-lkMcZJGLMIqidwDznwRK6H_AnOg=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1NdMURq5J8_P9sIwh43kM8UqJTrkvijhA_V-NmvDL_cj3CyfaJW73PAzn2BMZM9-g9JAFz-dx2b_q6yBd4GyXyGnkUx7V7ghW1UglrIzl2FlHQxaOvDxeQWn-aVebtqpe0oEzoaDw_JNXm=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sWlNUVjNiVzVvY1hjMlRXNTZlamRGYm5sM01WRRAB!2m1!1s0x0:0xe8beebad71bce319!3m1!1s2@1:CAIQACodChtycF9oOnlZSTV3bW5ocXc2TW56ejdFbnl3MVE%7C%7C?hl=id","109174672361944254985","https://lh3.googleusercontent.com/a/ACg8ocIa3086VNdOCsZk9wvjytJ8cV6y4LM0ZKK7dFG63g8K_xBCAg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109174672361944254985?hl=id",,,
"Planet Ban Padasuka","5","Lokasi strategis dan dan mudah dicari karena tempat  dekat dengan klinik kesehatan dan berseberangan dengan saung udjo.

Pelayanan baik dan ramah kepada pelanggan karena sesuai sop yang berlaku

Harga terjangkau, tempat tak terlalu luas alias minimalis dan peralatan yang memadai.

Bonus (isi nitrogen) gratis buat pelanggan yang berkunjung kesini dan membutuhkan penambahan angin nitrogen

Selamat berkunjung dan merasakan pelayanan nya secara langsung","2023-09-17T08:48:02.717Z","0","Muhamad Nur Kholik","79","true","2025-09-02T13:32:35.000Z","Dear Muhamad Nur Kholik,Terima kasih atas ulasan Anda! Kami senang Anda puas dengan layanan kami. Kami akan terus menjaga kualitas dan pelayanan terbaik untuk Anda.","id","2 tahun lalu",,,,"ChZDSUhNMG9nS0VJQ0FnSUNaNC1PYU5REAE","https://lh3.googleusercontent.com/grass-cs/ANxoTn1LMA_4e9jjJtcEaQ-4NQzrasrsfu_jOPyklPIusuRntwajgLIPk415uCke18xL5lBzUAnAzL5Xbqoyuw77ydBSR_Q68nKPUFo5NaWK7h6vOoCe5EH4MckYLAat5Idc0p_Eyf6r9g=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2z57nKHK_1hoKLfGPc70B3YlS-BkkER3YVUTxzct9xLS9iHJaSTyMrdrhxAdyL4R21Jv1BzkOXnXYGhsPiGM-KxzXibrBTZE5WrDHDn9r7M-YQe-gJsuYsxeBVLCsJshkw-A3Z=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1xpEOX--BGfzIsNPHZUswybtBEjrnTFbY_uiH70kcLO7nZ5Ivf9qbSCeX-ZqOSEPj1UqgBtGkHtUBz8jl0nxDauD28uvnOicryFN1fogqAEONwZdyZIL8zc6O3PYyTFYmgtO7-=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn18m-EzMesDvq5QtjbEpPPuN8Ze_avHE4NFl4XP3lqqPxWL7KzPc0UJ4r17-QbSNUMhjwRRVSepTMFZjqWzeO9h-7g2VyVDySxM_0Fkt0UcBc70tqyhFfyI1rcFXfVYPkepvdNM=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3YQKaZ3xrWessYmuHBa03HIiVmFssbGvyI3N9riuA6HfWhLT-LfznfCPpjyVAIlGzP_9YUZwmS1t_y5biHgDFFFHwVEd5BB-DM3LmIDWfT-WdHiXT-Rp68dn5hlOj568nuJSWEHQ=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2WsWx7A4XY786RX2pTw5BAPC0QV9tlbkYFQYRscym_qgBTutI_FFAs_6tGtuSGq9eLJtPFqILFYPAQD2Cou0nRbH1NWUcRaZu4pOh34zOcJSV3yNIMwLWpn3W7DMcyv_CyVdI=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNaNC1PYU5REAE!2m1!1s0x0:0xe8beebad71bce319!3m1!1s2@1:CIHM0ogKEICAgICZ4-OaNQ%7C%7C?hl=id","115992908519143827614","https://lh3.googleusercontent.com/a/ACg8ocINOcftl346ehu8d9b3xfdo23qkwYnPhihoTMq7PDZlLWvEVgE=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/115992908519143827614?hl=id",,,
"Planet Ban Padasuka","5","Pelayanan sangat bagus, teknisi ramah, harga bersahabat, garansi servis, terimakasih planet ban","2025-09-25T02:01:33.289Z","0","Riki Cahyana","2","false","2025-09-25T04:02:18.000Z","Dear Riki Cahyana,Terima kasih atas ulasan Anda! Kami senang Anda puas dengan layanan kami. Kami akan terus menjaga kualitas dan pelayanan terbaik untuk Anda.","id","8 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT2pCM1FXOVhVV3MzYTNSaFkwWkhUVEZ4YVZJelYyYxAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn0p8e77iaFKnNnvU64zQjnNSlZsl7Hq0RkVT6IzbRyESMolhaSi1sLiar27kijJOUVN1wQeON8joRpWZdQiwJnCQxihOFS3OPSplGBS1a1Xxg8ZzUtAsR68l2uK6fJlfgw2HDFzdEHhIlgp=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCM1FXOVhVV3MzYTNSaFkwWkhUVEZ4YVZJelYyYxAB!2m1!1s0x0:0xe8beebad71bce319!3m1!1s2@1:CAIQACodChtycF9oOjB3QW9XUWs3a3RhY0ZHTTFxaVIzV2c%7C%7C?hl=id","112840322691054568806","https://lh3.googleusercontent.com/a-/ALV-UjUAc7737__DzcCZyfzBa5VFwI6gLEXQT7aggF5lee5bYfyFL04=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112840322691054568806?hl=id",,,
"Planet Ban Padasuka","5","Di sini ada pengecekan aki gratis juga guys mantap, saya sudah ganti oli sama oli samping nya,,,

Dan biaya nya juga hanya produk aja mantapss 🤭","2025-09-25T02:22:17.544Z","0","リサ・リコ","4","false","2025-09-25T04:22:50.000Z","Dear リサ・リコ,Terima kasih atas ulasan Anda! Kami senang Anda puas dengan layanan kami. Kami akan terus menjaga kualitas dan pelayanan terbaik untuk Anda.","id","8 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT2xwc05VVlZRVXBHTW1wU01GcEhjbUZJVGpSVE0yYxAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn30Rh9_yzVSzFcCMQPNwa2SS7FAF3g67qltsR1Wur8AevKCdc5KL6jMt2IB1aWBY0DvF4Jxrxk7arvc1LfxggPb8fSPrc8PW6aN_HfA8GiwJQWAjoF9moS2H5rgbqVa-efUWH1VYWnWAd4=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xwc05VVlZRVXBHTW1wU01GcEhjbUZJVGpSVE0yYxAB!2m1!1s0x0:0xe8beebad71bce319!3m1!1s2@1:CAIQACodChtycF9oOlpsNUVVQUpGMmpSMFpHcmFITjRTM2c%7C%7C?hl=id","112740326056067707549","https://lh3.googleusercontent.com/a-/ALV-UjUsSWtLqBadLPULdt_dfHmPuwuwAxMtZNb15-eMOhUJwRoLfFTo=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112740326056067707549?hl=id",,,
"Apotek Asri","4",,"2025-12-07T08:40:51.908Z","0","Aldi aryapermana","0","false",,,,"6 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT2paaWRHMTNWbEozZVRkMlRFdFpielZ0Y0ZCVFVGRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn0Z3vS66gAYdQ_nwEmS1uMupYhlcsNpNpv9TXxm5OteuNIhK6KXVCLtW6DMR21vheLifQ5Fsa8Q8t6dSAuXeqp80h-b1UuHElSQbCeZfo4i7SVQbBbhRQA313rqK7YCsuAciKDuE4C50ms=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paaWRHMTNWbEozZVRkMlRFdFpielZ0Y0ZCVFVGRRAB!2m1!1s0x0:0x59542f0fd04940ca!3m1!1s2@1:CAIQACodChtycF9oOjZidG13VlJ3eTd2TEtZbzVtcFBTUFE%7C%7C?hl=id","112425000927929496357","https://lh3.googleusercontent.com/a/ACg8ocJ8z0N9JuZM7i-mp1y7BU0P_jI23PZ-VG_FOn90NPbAqo5KpA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112425000927929496357?hl=id",,,
"Apotek Prabu Jaya Farma","5","Tempat nya bersih, obat nya lengkap dan pelayanan nya istimewa, cepat dan ramah, really recommended 👌","2024-08-19T06:52:12.313Z","1","rian aprilia","11","true",,,"id","setahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSUM3al9IRThBRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM3al9IRThBRRAB!2m1!1s0x0:0xe9310f7be2096a71!3m1!1s2@1:CIHM0ogKEICAgIC7j_HE8AE%7C%7C?hl=id","101698411266540957835","https://lh3.googleusercontent.com/a-/ALV-UjWqcheyhTKS5Sm2JJz7eyEFkaGYSRkIhIRS6vXe561yYnKfRRov=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/101698411266540957835?hl=id",,,
"Apotek Prabu Jaya Farma","5",,"2025-09-26T10:50:54.946Z","0","Riska Murli","0","false",,,,"8 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT21kNFpDMUtWV1pVVG5sSVNXdzJZM1ZuU0VKUmNWRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kNFpDMUtWV1pVVG5sSVNXdzJZM1ZuU0VKUmNWRRAB!2m1!1s0x0:0xe9310f7be2096a71!3m1!1s2@1:CAIQACodChtycF9oOmd4ZC1KVWZUTnlISWw2Y3VnSEJRcVE%7C%7C?hl=id","105572855777569085631","https://lh3.googleusercontent.com/a/ACg8ocK3aefsaaiba4aOE7Ywq77UHEQ5etqdK69HaOK6oAITG2xdxw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105572855777569085631?hl=id",,,
"Apotek Prabu Jaya Farma","5",,"2024-05-23T08:12:56.734Z","0","Niar Putri","1","false",,,,"2 tahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSURUM01uZnF3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURUM01uZnF3RRAB!2m1!1s0x0:0xe9310f7be2096a71!3m1!1s2@1:CIHM0ogKEICAgIDT3MnfqwE%7C%7C?hl=id","100072488228718024482","https://lh3.googleusercontent.com/a/ACg8ocJqmmBbEYA-1q9ekfvFEI8cahfWMEpmO-9bhyxGGEWh3PYvfw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100072488228718024482?hl=id",,,
"Apotek Prima Jaya","4","Apotek cukup besar dan lengkap dengan kursi tunggu panjang. Parkir juga cukup untuk belasan motor, dan 2-3 mobil harus bayar ada yang jaga. Tarif obatnya sedikit lebih mahal dari apotek yang lebih kecil, tapi justru alkesnya lebih murah. Beda harga 1500 lumayan untuk mahasiswa dan freelancer.","2026-01-03T10:23:13.913Z","0","Khazanah Fadhilah N","483","true",,,"id","5 bulan lalu",,,,"Ci9DQUlRQUNvZENodHljRjlvT2xCaWRXUTJOREZpTjNnMmJVdFVNWGx6TkRsb2VYYxAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn0s3soZYlwgk_IWkYJ71mEdvT_J9tlHOPHn_mhiVROvP_qZBk-RLbHxGwEtWaih8i9ziVMOiLSukbhrsu8zuvjqlmZqID408unOYcWrLSeb6r8iEzoJq81YH9A5c233GKoXuAwkm4ADKtUi=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCaWRXUTJOREZpTjNnMmJVdFVNWGx6TkRsb2VYYxAB!2m1!1s0x0:0xe25cb11d3fdd64b0!3m1!1s2@1:CAIQACodChtycF9oOlBidWQ2NDFiN3g2bUtUMXlzNDloeXc%7C%7C?hl=id","100509763074550210968","https://lh3.googleusercontent.com/a-/ALV-UjUs6huAlyTyxQ37LpitRTn1zjQbn8KLLjbkwjvReKQSLWzJ2P8m=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/100509763074550210968?hl=id",,,
