"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Grup perjalanan","reviewContext/Jenis perjalanan","reviewContext/Layanan","reviewContext/Negatif","reviewContext/Positif","reviewDetailedRating/Kamar","reviewDetailedRating/Layanan","reviewDetailedRating/Lokasi","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"Service audio mobil,service berbagai speaker","5","ga nyangka tadinya power dan tweeter audio mobil matot bisa kembali normal. siakang jago service ternyata","2024-09-08T07:00:43.708Z","0","asuszf2 jaya","4","true",,,"id","setahun lalu",,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNIdy1iZndnRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn1Duh2_uXAiLKgGNQYWhM6861aypoGNX2Z8Em-48EaLlF_p7hNA4kIcnAHz8l--lqxL4qzcAm448eEDZb5yj_k_J4EtJ_V2EeDqReobhievzgG0GaUyBLojvRviQd1O-_8oVFA_=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn16oHIU36MPVIHaNiqMlyUVkIrOFXg0SXkEVNulFAyZhHN9PnVsAjcy9Y7OxdDn8XaIK1u3TGtu9j4YHYAEthxZu7C_PrNK6BGAEcCdx4SHo-ststSSpzbAnzwsZAswNWUNJj8qXA=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1-rhonrhjwtAMMthrWYzTKM0RTxxPjRa8apVnwGGMzRcWGY3LuUk9dMEk5OgsRUcn_CGp_IMIbg1ITx-ggg-zJKY3-jwmOskX8jPi1aPWH7EvVNIMh6-uF3yzWf5tKSWUoFqk=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNIdy1iZndnRRAB!2m1!1s0x0:0xe21914a1cb4b867d!3m1!1s2@1:CIHM0ogKEICAgICHw-bfwgE%7C%7C?hl=id","106902468571718584434","https://lh3.googleusercontent.com/a-/ALV-UjVBnBuZ1KGS1Rjtn09txWtVSZfL69BqFwnIsU91_QQouw0wm_yv=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/106902468571718584434?hl=id",,,
"Toko Victory Electronic","5","Harga speaker mini bersahabat
Hasil suara jernih dan jelas
Klw belanja sparepart disini aja untuk harga terjangkau","2025-12-11T11:51:54.760Z","0","Bani Kristiana","7","false",,,"id","6 bulan lalu",,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2kxR2NXSmZjWFphU2tWTk5ETTVWRzFEZVdJNGFVRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn23eydDokbFIGgj_YSi0pbxr_dihtkw6TZXVImFhV82dJIqqLU4pxW7OgDI_cxoU8HOg3RaMM3qkSxx5NhtYZ_aM_tsDCnDSJ3p8J00XKov9neKs_UlICVPqRHnkXB3cE0TihTQbn-lcM4S=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxR2NXSmZjWFphU2tWTk5ETTVWRzFEZVdJNGFVRRAB!2m1!1s0x0:0x70c40e46610a8896!3m1!1s2@1:CAIQACodChtycF9oOi1GcWJfcXZaSkVNNDM5VG1DeWI4aUE%7C%7C?hl=id","111601443956606462202","https://lh3.googleusercontent.com/a/ACg8ocLsG02NJCh1dxkblrkzKYo9jEYo6ASexCPmN6Unucy5rF3ecw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111601443956606462202?hl=id",,,
"Toko Victory Electronic","1","Koh saran aja ini mah, tukang parkirnya kalo bisa usir aja ga guna. Saya parkir sendiri keluar sendiri kang parkir cuma ngobrol sama temennya, saya dateng ke toko cuma ngambil doang karena udah pesen sebelumnya, ga sampe 2menit tetep minta duit parkir, ga saya kasih malah dikata2in","2025-09-14T11:08:17.386Z","0","Ruri Irawan","9","false","2025-09-16T09:35:41.000Z","Nanti kalau ke toko lagi coba kasih tau sy parkirnya yg mana, ","id","9 bulan lalu",,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xBdGRsZFlXVkJJVUhsNVJTMWxSbkF4Y0ZCUlJXYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xBdGRsZFlXVkJJVUhsNVJTMWxSbkF4Y0ZCUlJXYxAB!2m1!1s0x0:0x70c40e46610a8896!3m1!1s2@1:CAIQACodChtycF9oOlAtdldYWVBIUHl5RS1lRnAxcFBRRWc%7C%7C?hl=id","114320968765194577615","https://lh3.googleusercontent.com/a/ACg8ocKiKFdxsqRFRuUHOD7jcr_Bi4V3NL195HcxuNm-suzQIF-xPso=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114320968765194577615?hl=id",,,
"Toko Victory Electronic","5","Selamat sore kak. Maaf kak kalau ditokonya jual alat degausing buat penghilang maghnet di tv tabung. Dan kalau ada harganya berapa ya kak. Yg kaya gambar dibawah kak 🙏🙏🙏","2023-12-19T09:46:59.195Z","0","Shatria Angga","2","false","2023-12-19T15:59:52.000Z","Alat itu udah lama ga jual,
Kalau mau bisa diganti pakai magnet speaker ","id","2 tahun lalu",,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURWbi03dDNRRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn0CMrXRS3uzS4A_SUF2EZVLgzF0Z5SV1M8pN0bR-1QMiHOpvwalA6XbJEnSAbgtAKMAK_MxcnR_X9BF-EoLmPXUUstunm1rOfm9-g6P7s9_rH1qD-6LwPvFwlyjD8vJxdgHj0F_=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURWbi03dDNRRRAB!2m1!1s0x0:0x70c40e46610a8896!3m1!1s2@1:CIHM0ogKEICAgIDVn-7t3QE%7C%7C?hl=id","108410138067341550215","https://lh3.googleusercontent.com/a-/ALV-UjVPUiZ0w4xNuaG2XoY7fyLRbY9NAOPHFgK7iu-dYg7Qkqb_YPA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/108410138067341550215?hl=id",,,
"Toko Victory Electronic","5","Selamat siang, elco 80volt 82uf apakah ada?","2025-11-25T06:20:16.354Z","0","Hariss Alya","21","true",,,"id","6 bulan lalu",,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2pkVE0yYzVhR3BvTkZoa1YzTm5NRUZ6TUU5TFZFRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkVE0yYzVhR3BvTkZoa1YzTm5NRUZ6TUU5TFZFRRAB!2m1!1s0x0:0x70c40e46610a8896!3m1!1s2@1:CAIQACodChtycF9oOjdTM2c5aGpoNFhkV3NnMEFzME9LVEE%7C%7C?hl=id","108585365121705906787","https://lh3.googleusercontent.com/a-/ALV-UjVbAUrijeKNSiLh5x-xjFMZg39PzMDeq3rouF64cKDomdCOcANUog=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/108585365121705906787?hl=id",,,
"Toko Victory Electronic","1","Halo ko. Sy barusan beli lampu led kerlap kerlip Rp 12.500, abis balik ke rumah anak saya juga beli disana 2 hari lalu dengan harga Rp 4500, sy cek ke Shopee harga 2.800. Harga nya ngga ada standard nya? Atau gambling aja buat yg dikira ngga tahu harga????","2024-11-01T07:56:25.727Z","0","whatsapp backup","3","false",,,"id","setahun lalu",,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURYcjhPLTRnRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYcjhPLTRnRRAB!2m1!1s0x0:0x70c40e46610a8896!3m1!1s2@1:CIHM0ogKEICAgIDXr8O-4gE%7C%7C?hl=id","117497505153650566762","https://lh3.googleusercontent.com/a/ACg8ocJVr4xPEdOHDroSocWAyLoGfrqhglUnZTqIvbvAIr3T2WqFjA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117497505153650566762?hl=id",,,
"Audio mobil dan instalasi audio mobil bandung","5","Alhamdulillah dalam 90 menitan beres pemasangan dashcam. bapaknya ramah, santai diajak ngobrol. bisa dipanggil ke rumah juga untuk instalasi audio atau dashcam mobil. pemasangannya rapi dan tarif jasanya juga terjangkau. mantap 👍","2024-09-09T08:20:46.767Z","0","Alvin AA","127","true",,,"id","setahun lalu",,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNIMjU2T3pRRRAB","https://lh3.googleusercontent.com/grass-cs/ANxoTn15oTqdBizLddbidyXo6R0R8VsllXsLvMoFleCcAkl1P1WEcyttKLkltq_cfGmqYhZhHwJodykT5zKTPaCfW8qe13Arj6uI4LLbeIjVsK3Jgrlc_d7sCMPih_CfPmNwa54wgsA=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1vX2h5OPUhE6Ce6iK5-CGIkGPqFWPMyq2MsK0TsocGUci4jR_KqzoZYgDIXCbN0CPXCPg1mUl5OWuabzTiAMtTIf_sbZHX-zfjXHrB-zSsuJqx04ZPJl_KEEdMBJEer_dvvcYk=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1R4Ml7REEJcKKIeYNXHlQhaDc90PYcTFDLzgeLIsJvE7fJPqZ_djTbuwtiCfecj6tYdnpr2TZpXO9AevKzp4Qa_ev--svom3WaSnnk-jgHT1NY3VYVNMO3wO9ID5LjRolIUauK=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2QI5_bumP0eegI7XF9t8v7FzBd1hRe49mOt5nCSMkLWSXPpFauuaYrb20kt4SKFrw8rOJMq5Amz3Jfw0K6SYDHmzxVBnk1YmDfMCiQmNQH3lC-ipZiRp69pT-R-Jr-F4Ax8U5V=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1NQlcGurj3mqWpVMN9H7MwCRaOqrHpFcbB41YedKGMiDyG-AKNqd_DlDywEWSOFqEGpwkv7D_JPOEnaGNhFqAECBn91I4LsbBegBWqvlgSOXfrIa-bB38Mj1_AHViFo5XLnOGZ=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNIMjU2T3pRRRAB!2m1!1s0x0:0x9d6a28b7404b8ac0!3m1!1s2@1:CIHM0ogKEICAgICH256OzQE%7C%7C?hl=id","117924492721260639215","https://lh3.googleusercontent.com/a-/ALV-UjUjWr_6cxf8XGBVScYmjGZqvz0ZquqLLREhsit4Uaexg27-H1CovQ=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/117924492721260639215?hl=id",,,
"Audio mobil dan instalasi audio mobil bandung","4",,"2022-10-31T01:18:35.381Z","0","Mauladi Awal","4","true",,,,"3 tahun lalu",,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUMta3V5ZnZRRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMta3V5ZnZRRRAB!2m1!1s0x0:0x9d6a28b7404b8ac0!3m1!1s2@1:CIHM0ogKEICAgIC-kuyfvQE%7C%7C?hl=id","105842177463246651166","https://lh3.googleusercontent.com/a/ACg8ocLuHQ0YtW5M_uWlA9yYzIvRP0vltSrGbaKDunfPg8dQqLpmeA=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/105842177463246651166?hl=id",,,
"Toko Laris Elektronik","5","sempet kemarin beli online tapi responnya aneh,, ternyata akun yg satunya kena hack kata pegawainya..
Waktu cek IG TOKPED dan WA ternyata ini yg betulnya,, hati2 ya temen2 crosscek dulu sebelum beli , kalau sempet mending lsg dateng storenya aja ... barangku bisa dikirim langsung di hari yang sama dibantu pasang juga.. Makasih LARIS","2025-05-24T02:47:45.386Z","0","Hermin noer anggraeni","1","false",,,"id","setahun lalu",,,,,,,,,,"ChZDSUhNMG9nS0VQdTVtUFhCdlp6QkZBEAE","https://lh3.googleusercontent.com/grass-cs/ANxoTn0SqJxCfSaAeymkrw9bQgr9Igmj4KdNhH_QEz3svd9EBTX5OcjyUC0BFrSNjnKHgAIFveJa0DkWm5jKlIsXG7zmefD9VuplmsipCBCS1-P-cd9Fr5E4hXfaVKHslZBlr5msgxZd=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1Cm2tltJBNnvJxgCBxTfkGw5pP9Bd2WCSOocL0_qoVKXCscQkPWRg0ISaAQQz7kvGJu-D79u58yGzxpnI889RzesiEEE08L504CSnK2U23BCDazN9dKcN4q-PBNm2PCNsMjI_N6Q=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3ffbJmFynB07iqm6dNs2-IzYzJl_vfIQGliBx9msxeuNRPLudF_ugcYVFw1jFqrdaF8ELggXQX1zkIblJAoxkhaMXyhJMp-OE59tA5UIa37CCP8CJXoruqYxy11PYTCd8fDv-CCQ=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQdTVtUFhCdlp6QkZBEAE!2m1!1s0x0:0xed0afd3850539857!3m1!1s2@1:CIHM0ogKEPu5mPXBvZzBFA%7C%7C?hl=id","103053832696056305669","https://lh3.googleusercontent.com/a-/ALV-UjW6QsM41NW7ieRP2xfAQ3Dzqq_f2FXNM2cQB9QchTzzKHoWJdyz=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103053832696056305669?hl=id",,,
"Toko Laris Elektronik","5","Toko langganan sejak dulu. Brg nya berkualitas dan pelayanan yg ramah. Layanan jual nya juga kompetitif. Selamat buat toko barunya... moga makin berjaya....","2025-10-05T07:33:06.481Z","0","Fitriah Koswara","1","false",,,"id","8 bulan lalu",,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2tjMFgwUTVlVkJJU0hNNWRVOHlabUpzWDFkM1RtYxAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tjMFgwUTVlVkJJU0hNNWRVOHlabUpzWDFkM1RtYxAB!2m1!1s0x0:0xed0afd3850539857!3m1!1s2@1:CAIQACodChtycF9oOkc0X0Q5eVBISHM5dU8yZmJsX1d3Tmc%7C%7C?hl=id","113871150120322815829","https://lh3.googleusercontent.com/a/ACg8ocI2XwP6vhswxUlUR5IiAgioxCWPn6OsgsvbVX_du7hvW16mAA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113871150120322815829?hl=id",,,
