"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Batagor Rian","4.6","10","Jl. Cihampelas No.276","Kota Bandung","Jawa Barat","ID",,"","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Rian&query_place_id=ChIJccptqljmaC4RkniZiUmb8I4","Restoran"
"Seblak mamah saleh","4.2","479","Jl. Sukamulya Indah No.39, RT.002/RW.002","Kota Bandung","Jawa Barat","ID",,"+62 859-2624-3069","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20mamah%20saleh&query_place_id=ChIJ7anQ9ennaC4RfqYI1gkBBYY","Restoran"
"Seblak Boss Jarrdin","5","13","4J54+53Q, Lobby tower B The Jarrdin Apatmen","Kota Bandung","Jawa Barat","ID",,"+62 877-2210-6866","Kedai Sup","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Boss%20Jarrdin&query_place_id=ChIJS1X554jnaC4RebNoo0AaEjE","Kedai Sup"
"Seblak TERAS Sekeloa","3.6","21","Jl. Sekeloa Tengah No.118 152c","Kota Bandung","Jawa Barat","ID",,"+62 812-2340-5995","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20TERAS%20Sekeloa&query_place_id=ChIJ9RNyGFXmaC4RrE1udnrXTqI","Restoran"
"Seblak Magnet","4.2","33","4HRW+52J, Jl. Dr. Setiabudi","Kota Bandung","Jawa Barat","ID",,"","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Magnet&query_place_id=ChIJgfU__rjmaC4RmQlMtuNL2ys","Restoran seblak"
"Warung Seblak","4.4","10","Jl. Kebun Binatang No.46-49","Kota Bandung","Jawa Barat","ID",,"+62 852-2177-7539","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Seblak&query_place_id=ChIJo6nTXFrmaC4RtiLDanMmKkk","Restoran seblak"
"Seblak ma iwin","5","7","Gg. Neglasari IV Jl. Cikutra No.35","Kota Bandung","Jawa Barat","ID",,"","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20ma%20iwin&query_place_id=ChIJ3e5P6yDnaC4RIEO8UT0PQZ4","Restoran seblak"
"Seblak Ibu Ai","4.8","6","Jl. Tubagus Ismail No.30","Kota Bandung","Jawa Barat","ID",,"","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Ibu%20Ai&query_place_id=ChIJSWcjCv_maC4Rdhb6n7P7CU8","Restoran seblak"
"Seblak Mahdin","5","3","Jl. Kanayakan No.34A","Kota Bandung","Jawa Barat","ID",,"+62 857-7485-5645","Restoran cepat saji",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Mahdin&query_place_id=ChIJHz-5Ye3naC4RiaLQmbkxb3U","Restoran cepat saji"
"Kedai Seblak Numnum","4.6","20","Jl. Geger Arum No.37","Kota Bandung","Jawa Barat","ID","http://instagram.com/kedai_seblaknumnum","+62 813-2098-8485","Kedai Sarapan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Seblak%20Numnum&query_place_id=ChIJF5ArzALnaC4RmLAGQ2W_yVA","Kedai Sarapan"
"SEBLAK TUBAGUS","4.9","15","Gg. Kubangsari II No.17","Kota Bandung","Jawa Barat","ID",,"+62 831-3912-3127","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=SEBLAK%20TUBAGUS&query_place_id=ChIJ4cyAUSDnaC4RSE4mckF0nak","Kafe"
"Seblak Mang Coy","4.1","56","indomaret, Jl. Karang Tineung No.6A","Kota Bandung","Jawa Barat","ID",,"+62 857-9560-0159","Restoran seblak","Restoran Indonesia",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Mang%20Coy&query_place_id=ChIJX1xWEovmaC4RyRStn8Fgkr8","Restoran seblak"
"Seblak dondon","4.3","36","Jl. Tubagus Ismail - Depan","Kota Bandung","Jawa Barat","ID",,"+62 898-6805-589","Restoran cepat saji","Restoran Sunda",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20dondon&query_place_id=ChIJl0FHasnnaC4RW1fd5XBYJsw","Restoran cepat saji"
"Cilok Seblak Ceker Jagoan Ayah","4.7","114","Jl. Pahlawan No.19-21","Kota Bandung","Jawa Barat","ID",,"+62 813-9458-2110","Restoran Jawa","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Cilok%20Seblak%20Ceker%20Jagoan%20Ayah&query_place_id=ChIJF4PsfLrnaC4Rp6sM2IP_p1o","Restoran Jawa"
"Seblak Prasmanan Teh Ulan","5","5","Jl. Padasuka Gang Babakan Cihakit No.123","Kota Bandung","Jawa Barat","ID",,"","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Prasmanan%20Teh%20Ulan&query_place_id=ChIJb2_ffGbnaC4RCqlpQJixn-U","Restoran seblak"
"Seblak Teh Neng","4.7","3","Jl. Pasir Kaliki Barat kel No.38, RT.02/RW.15","Kota Bandung","Jawa Barat","ID",,"+62 895-6017-50574","Kedai Sarapan & Makan Siang","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Teh%20Neng&query_place_id=ChIJBzRLwoXnaC4RFLenNVCG-kg","Kedai Sarapan & Makan Siang"
"Seblak Putri","5","14","Jl. Sekeloa Selatan No.2, RT.02/RW.15","Kota Bandung","Jawa Barat","ID",,"","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Putri&query_place_id=ChIJ6b798tPnaC4RvpXYf-Kdj0Y","Restoran seblak"
"Seblak PJJ","4.5","30","Jl. Jatihandap No.126","Kota Bandung","Jawa Barat","ID",,"+62 821-1703-3327","Restoran cepat saji","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20PJJ&query_place_id=ChIJS1WHb9LnaC4R2s_F03Dc4qE","Restoran cepat saji"
"Seblak Bella","4.7","33","setrasari raya gg ibu uin no 35 (gg samping, Jl. Setrasari Raya No.1","Kota Bandung","Jawa Barat","ID",,"","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Bella&query_place_id=ChIJJ2WUanXnaC4R5WyldV-Uc2I","Restoran seblak"
"Seblak Ceria","4.6","24","Jl. Sukasenang Raya No.V","Kota Bandung","Jawa Barat","ID",,"+62 821-3010-8081","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Ceria&query_place_id=ChIJJ71H-7rnaC4RlSsG-SjhReU","Restoran seblak"
"Seblak depan Kampus 2 Stikep PPNI","4.5","24","3HXV+XMW","Kota Bandung","Jawa Barat","ID",,"","Restoran Asia","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20depan%20Kampus%202%20Stikep%20PPNI&query_place_id=ChIJRUTe-2jmaC4RttMB0Xki3GM","Restoran Asia"
"Seblak Goyang Lidah Berkah","4.4","14","Jl. Sekeloa Tengah","Kota Bandung","Jawa Barat","ID",,"+62 857-9518-0883","Toko Makanan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Goyang%20Lidah%20Berkah&query_place_id=ChIJXR_vuQznaC4RBaHQ0UKwse8","Toko Makanan"
"Seblak Oces Dago barat ujung","5","8","Jl. Dago Barat Ujung No.3, RT.002/RW.005","Kota Bandung","Jawa Barat","ID",,"+62 898-8812-307","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Oces%20Dago%20barat%20ujung&query_place_id=ChIJI7Z67EvnaC4RIFFC7-6WnyE","Restoran"
"Seblak Kering Bandung","5","5","Jalan Babakan Sekebiru Nomer 68, RT.03/RW.01","Kota Bandung","Jawa Barat","ID",,"+62 857-2030-4378","Toko Makanan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Kering%20Bandung&query_place_id=ChIJCUsbgmjnaC4RC0GjuevxvP8","Toko Makanan"
"Seblak Soepandi","4.7","505","3MXR+Q9H","Kota Bandung","Jawa Barat","ID",,"+62 857-2166-7279","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Soepandi&query_place_id=ChIJIz_UCQDdaC4Rzi_PAdXsVdI","Restoran seblak"
"Seblak Mamih Eni","4.9","21","Jl. Bangbayang No.12","Kota Bandung","Jawa Barat","ID",,"+62 895-6283-07971","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Mamih%20Eni&query_place_id=ChIJ6Ww7X4HnaC4RcCoB3kppbjA","Restoran seblak"
"Seblak Bu'D","5","17","Jl. Muararajeun Lama No.3, RT.001/RW.04","Kota Bandung","Jawa Barat","ID",,"+62 878-2561-0474","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Bu'D&query_place_id=ChIJWe_nCm3naC4RDHzX6S21wRQ","Restoran seblak"
"Seblak prasmanan Bu Noer","3.4","36","Jl. Tubagus Ismail No.84, RT.005/RW.015","Kota Bandung","Jawa Barat","ID",,"+62 877-3921-4760","Kedai Jus",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20prasmanan%20Bu%20Noer&query_place_id=ChIJh812VSDnaC4RSj4Nd-TsdIA","Kedai Jus"
"Lumpia Basah & Seblak Teh Mela (MabeL), Dago","4.4","51","Jl.Bangbayang No.61/157d, RT.002/009","Kota Bandung","Jawa Barat","ID","https://gofood.link/a/KDK7bjC","","Restoran","Warung nasi","Restoran seblak",,,,,,"https://www.google.com/maps/search/?api=1&query=Lumpia%20Basah%20%26%20Seblak%20Teh%20Mela%20(MabeL)%2C%20Dago&query_place_id=ChIJa7CBRHHnaC4R7CUK7jvX5ac","Restoran"
"Seblak prasmanan siEneng","5","12","Cluster pesona, Jl. Giri Jati No.A2","Kota Bandung","Jawa Barat","ID",,"+62 896-9391-8383","Kedai Sarapan & Makan Siang",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20prasmanan%20siEneng&query_place_id=ChIJwdT0tTTdaC4RltcYid7QrX4","Kedai Sarapan & Makan Siang"
"Warung Seblak Prasmanan Teh Fitri","4.8","33","Jl. Sekepanjang III No.16","Kota Bandung","Jawa Barat","ID",,"+62 838-2578-3150","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Seblak%20Prasmanan%20Teh%20Fitri&query_place_id=ChIJq2k65KDnaC4RcuAqNqaqgYA","Restoran"
"Seblak Abdul","4.5","145","Jl. Bapa Husen No.5a","Kota Bandung","Jawa Barat","ID",,"+62 881-2045-015","Pujasera","Restoran Jawa","Restoran seblak",,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Abdul&query_place_id=ChIJf6Xhul7maC4RQO_3echzl08","Pujasera"
"Seblak kuring Seblak Teh Nita","4.5","32","Jl. H. Mesri No.36","Kota Bandung","Jawa Barat","ID",,"+62 838-2066-9252","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20kuring%20Seblak%20Teh%20Nita&query_place_id=ChIJU8crcwbnaC4Ri1CmHq9dJEo","Restoran seblak"
"Seblak Jeletot Never Die","4.5","11","4J4V+5F9, Jl. Bojong Koneng","Kota Bandung","Jawa Barat","ID",,"","Restoran seblak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Jeletot%20Never%20Die&query_place_id=ChIJXSMqlaLnaC4RfLEm3gHdiak","Restoran seblak"
"Seblak prasmanan","4.2","6","Jl. Cisitu Lama No.34","Kota Bandung","Jawa Barat","ID",,"+62 821-3053-6043","Dapur Umum",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20prasmanan&query_place_id=ChIJSYbrFnbnaC4RklLi8L_im3s","Dapur Umum"
"Seblak best' 18 & warung kovie ph","5","73","Jl. Terusan Cimuncang No.43","Kota Bandung","Jawa Barat","ID",,"+62 818-0909-7309","Warung Makanan Kecil",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20best'%2018%20%26%20warung%20kovie%20ph&query_place_id=ChIJ2TKjZADnaC4RElDQib_99VY","Warung Makanan Kecil"
"Seblak Kawani","4.7","118","Jl. Dipati Ukur","Kota Bandung","Jawa Barat","ID",,"+62 895-6250-91370","Restoran seblak","Restoran",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Kawani&query_place_id=ChIJo-ScgFTmaC4RR4VSq3G6MBI","Restoran seblak"
"Seblak Seuhah","4.7","15","4J6G+CCP, Jl. Cibeunying Kolot","Kota Bandung","Jawa Barat","ID",,"+62 896-7026-8350","Restoran Jawa","Restoran seblak",,,,,,,"https://www.google.com/maps/search/?api=1&query=Seblak%20Seuhah&query_place_id=ChIJZbWBPqrnaC4Rkna7XMlY6P0","Restoran Jawa"
