"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Beco Burger Bandung","3.9","130","Jl. Cihampelas Jl. Lamping No.pertigaan","Kota Bandung","Jawa Barat","ID",,"+62 858-6157-6768","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beco%20Burger%20Bandung&query_place_id=ChIJZeG7fJ7naC4RzIV9UUoa9xY","Restoran"
"Sushi Rain, Sushi Goreng Bandung","4.9","9","Monumen Perjuangan, Jl. Japati","Kota Bandung","Jawa Barat","ID",,"+62 878-8931-8400","Restoran Sushi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sushi%20Rain%2C%20Sushi%20Goreng%20Bandung&query_place_id=ChIJ3WciuSjnaC4RTJfsWCLF4e0","Restoran Sushi"
"Kopi Salarea","4.8","434","Jl. Kanayakan Baru No.344 7a","Kota Bandung","Jawa Barat","ID","http://www.kopisalarea.com/","+62 812-2439-1329","Kedai Kopi","Kafe","Bar Kopi Espresso",,,,,,,"https://www.google.com/maps/search/?api=1&query=Kopi%20Salarea&query_place_id=ChIJxSjLVKTnaC4RdZ7XuCKi3gI","Kedai Kopi"
"Kurokoffee","4.6","2245","Jl. Ciumbuleuit No.130","Kota Bandung","Jawa Barat","ID","http://kurokoffee.co/","+62 22 2033406","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kurokoffee&query_place_id=ChIJBcGfMOnmaC4R3HIBvXz84p8","Kedai Kopi"
"Dreezel Coffee","4.4","1122","Jl. Tubagus Ismail No.7","Kota. Bandung Barat","Jawa Barat","ID","http://linktr.ee/dreezelcoffee","+62 811-1111-3199","Kedai Kopi","Kafe","Bar Kopi Espresso",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dreezel%20Coffee&query_place_id=ChIJAQAv2PjmaC4RZfmA8eU6i7g","Kedai Kopi"
"Kanoko Coffee Dago","4.7","359","Jl. Dago Asri 1 No.24","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/kanokocoffee?igsh=MWcya215ZHhqYzlhYQ==","","Kedai Kopi","Kafe","Ruang Kerja Bersama","Restoran",,,,,,"https://www.google.com/maps/search/?api=1&query=Kanoko%20Coffee%20Dago&query_place_id=ChIJKdSLbwvnaC4ReXzW4kSwfeU","Kedai Kopi"
"PERSEGI Coffee","4.6","809","Jl. Cihampelas No.144","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/_segicoffee/","+62 812-8803-8802","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PERSEGI%20Coffee&query_place_id=ChIJ493-FR_naC4Rr3LYXVTalmU","Kedai Kopi"
"Pondok kopi","4.6","32","Jl. Dr. Djunjunan No.27","Kota Bandung","Jawa Barat","ID",,"+62 811-229-090","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pondok%20kopi&query_place_id=ChIJvfvsU2jmaC4RzASwBrDjPj0","Kedai Kopi"
"Starbucks PVJ","4.5","1976","Paris Van Java, Unit 16B, Jl. Sukajadi No.131-139","Kota Bandung","Jawa Barat","ID","http://www.starbucks.co.id/","+62 22 82063760","Kedai Kopi","Kedai Sarapan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Starbucks%20PVJ&query_place_id=ChIJJ6xOZ2DmaC4RyEyKmdHZoRE","Kedai Kopi"
"Sankyōdai Coffee","4.6","107","Jl. Aria Jipang No.6","Kota Bandung","Jawa Barat","ID",,"+62 821-1983-2026","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sanky%C5%8Ddai%20Coffee&query_place_id=ChIJmWglsDHnaC4RSsXRlMWBAO0","Kedai Kopi"
"Tempat Ngopi","5","1","Jl. Sadang Hegar II No.2","Kota Bandung","Jawa Barat","ID",,"+62 853-1415-1817","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tempat%20Ngopi&query_place_id=ChIJEZxl-o3naC4RfijDMlPhIqk","Kedai Kopi"
"MENOEWA KOPI BANDUNG",,,"3HXQ+WJ3","Kota Bandung","Jawa Barat","ID",,"","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MENOEWA%20KOPI%20BANDUNG&query_place_id=ChIJe1xtxJDnaC4RShUwhmpUE94","Kedai Kopi"
"TOKO KOPI GILING BANDUNG",,,"Jl. Prof. drg. Soeria Soemantri No.74","Kota Bandung","Jawa Barat","ID",,"","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TOKO%20KOPI%20GILING%20BANDUNG&query_place_id=ChIJIddkEADnaC4RY7836Gw9MYA","Kedai Kopi"
"Kedai Kopi TarikUlur","4.6","441","Jl. Terusan Cigadung No.6","Kota Bandung","Jawa Barat","ID",,"+62 811-222-990","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Kopi%20TarikUlur&query_place_id=ChIJGYpYagDnaC4RpndNGgI7Jzc","Kedai Kopi"
"Kedai Kopi Apin - Bandung","5","1","Depan Remaja Tailor, Jl. Ciumbuleuit Gg. Rahayu 2 No.51","Kota Bandung","Jawa Barat","ID",,"+62 857-5938-8710","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Kopi%20Apin%20-%20Bandung&query_place_id=ChIJKVlsJEPhaC4RNEc2KHt3A6I","Kedai Kopi"
"Kopi Mana Kopi?",,,"Jl. Karang Tineung No.30-8","Kota Bandung","Jawa Barat","ID",,"","Kafe","Kedai Kopi",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kopi%20Mana%20Kopi%3F&query_place_id=ChIJ-zpW84rmaC4RPk6VqWhfhsE","Kafe"
"Point Cafe Pasteur 78","2.4","30","Jl. Dr. Djunjunan No.78","Kota Bandung","Jawa Barat","ID","https://pointcoffee.id/","+62 21 1500280","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Point%20Cafe%20Pasteur%2078&query_place_id=ChIJ-ctEXP7naC4RTtcuqWuGKdk","Kedai Kopi"
"Warung Kopi Flamboyan","5","15","Jl. Dr. Setiabudi No.235","Kota Bandung","Jawa Barat","ID",,"+62 878-2328-9209","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Kopi%20Flamboyan&query_place_id=ChIJQ7C0ljXnaC4RiG4ovzevyhk","Kedai Kopi"
"Point Cafe Dipatiukur","4.1","43","Indomaret Point, Jl. Dipati Ukur No.85","Kota Bandung","Jawa Barat","ID","https://pointcoffee.id/","+62 21 1500280","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Point%20Cafe%20Dipatiukur&query_place_id=ChIJHX8kWRrnaC4R2wSs1uXlksQ","Kedai Kopi"
"Point Cafe Cihampelas 198","4.2","25","Jl. Cihampelas","Kota Bandung","Jawa Barat","ID","https://pointcoffee.id/","+62 21 1500280","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Point%20Cafe%20Cihampelas%20198&query_place_id=ChIJ7bYLnqfnaC4R6-d1MiC9pf8","Kedai Kopi"
"Point Cafe Ciumbuleuit","4.5","21","Jl. Ciumbuleuit No.153","Kota Bandung","Jawa Barat","ID","https://pointcoffee.id/","+62 21 1500280","Kedai Kopi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Point%20Cafe%20Ciumbuleuit&query_place_id=ChIJmRWb-k3naC4RiqzyZSBhMik","Kedai Kopi"
