entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;jumlah_teks_untuk_sentimen;sentiment_score;sentimen_confidence
13th shoes || jl terusan cisokan no 100;13th Shoes;5;146;Jl. Terusan Cisokan No.100;Kota Bandung;Toko Sepatu;"Produk lokal yg ga kalah sama produk luar, dipakenya nyaman sol nya anti slip dan ga bikin lecet. Model nya juga cakep2 up to date bangeet. Lop u 13th shoes ||| Modelnya unik, harganya terjangkau, kualitasnya udh gk dragukan lagi💕 ||| Sepatunya bagus-baguss, tokonya juga jadi bagus bangett, dan yang paling prnting pelayanannya juga mantap banget ||| Alhamdulila buka official store ya 13th shoes! Congratsss🙏 Storenyaaa enak nyamannnn mbanyaa juga sangat helpful 🥰 ||| Koleksinya bagus"" dan ada diskon juga 🥰👍🏻";5;1;Tinggi
180 christian store || jl mekar agung no 131;180 Christian Store;4,6;120;Jl. Mekar Agung No.131;Kota Bandung;Toko Buku Kristiani;"Gantian ah kasih rating jelek. 25 sep dia psen goshop dr mekaragung ke tci3, taunya salah ke tki 3. Diajak ngomong baik2 ga ngerti malah ttep bilang dia bener dan saya yg slh perkara sy mnta ongkos lebih. Lah sy mnta ongkos lebih karna sy hrus anter lg dr tci3 ke tki 3. Malah bilang salah saya dimana. Lah kocak nih org. Udh jelas2 dia yg salah taruh titik pengantaran malah nanya salah dimana. Kajeun lah sing bisa mawa na geus dzolim ke org yg ga salah apa2. Chuaks ||| Ingin mencari buku rohani anak-anak tapi koleksi sangat sedikit. Dan juga seperti tidak terurus karena berdebu. Penataan untuk buku buku jga kurang sehingga sulit untuk mencar. Semoga ke depannya bisa diperbaiki. ||| One eighty Christian book store, masi sama seperti visi book store pada masa lalu, dikira sudah tutup ternyata masih ada. Koleksinya memang sudah terbatas namun masih baik. ||| Pindahan dari toko visi di mall Istana Plaza, sekarang bernama ""180 Christian Store"" di bawah manajemen berbeda dari visi. Tempatnya agak dalam sih tapi cukup terlihat karena tidak jauh dari mallnya. ||| Tetap bertahan di masa Covid ini... toko buku rohani ini masih menyediakan kebutuhan pelayanan kita seperti :";5;1;Tinggi
23quicklaundry coin laundry || jl saturnus tengah ii no 23;23Quicklaundry Coin Laundry;4,6;98;Jl. Saturnus Tengah II No.23;Kota Bandung;Layanan Binatu;Tempatnya lumayan nyaman, pelayanan sangat baik, harga affordable, dan cocok untuk mencuci pakaian yang akan digunakan segera 🙏👍 ||| Ni emang harus banget ya??? Operator dua-duanya selalu ikut duduk-duduk di meja tunggu customer? Apalagi selalu ikut duduk dan ngobrol2 ga jelas sama istri orang kaya gitu. Ini bukan cuma 1 ato 2 kali lho saya perhatikan. Kesannya menggangu sekali. ||| Nyuci kering disini enaknya mesinnya gede,,JD kapasitas 10 kg cmn 1 mesin,,dan mesinnya bneran lebh gede drpd laundry instan yg biasanya,,JD baju lebh bersih ,,keren bgt sihhh ,,smga berkah dn makin bnyk buka cabang yaaa🤗🤗 ||| Tempat laundry coin ternyaman di margahayu raya 🥰 📍 jl . Saturnus tengah II no.23 Margahayu Raya Bandung 💰Cuci 10 K dan Kering 10 K ⏰ senin - minggu 07.00 - 21.00 Tempatnya nyaman , bersih , pelayanannya ramah, dalam waktu kurang dari 2 jam cucian kering, bersih dan wangi , kapasitas mesin besar , ada wifi dan bisa sambil ngopi juga 🤭. Recommended deh ~ ||| Ada 12 mesin cuci dan 12 mesin pengeringnya..... tempat nyaman, tersedia sofa untuk menunggu. Sebelah ada barber, datang jam 9 kurang 10 menit masih dterima...........;5;1;Tinggi
347 store unkl347 headquarters || jl trunojoyo no 4;347 Store (UNKL347 Headquarters);4,6;953;Jl. Trunojoyo No.4;Kota Bandung;Toko Pakaian;Staffnya ramah, toko nya bersih. Produk ga usah diraguin lg kualitasnya. Bagus. Selalu repeat order either beli online or datang lgsg ke store. Sukses selalu maternal.. ||| Dulu tahun 2007-2009 347 banyak model, dari mulai baju, celana, jaket, sweater, topi sabuk sampai sendal banyak pilihan nya, sekarang sedikit pilihan nya. ||| Puas banget cuci mata dan belanja di sini. Tempatnya asik, ada coffee shopnya juga. Berujung nyangkut di 347. ||| Lokasi strategis. Berdempetan dengan coffee shop. Cocok buat nongkrong. Yang juara, walopun. Kecil dan barang yg di jual tidak trlalu banyak, tapi design nya KEREN bgt.;4;1;Tinggi
3d print dan laser cuting engraving bandung || jl moch toha no 411;3D print dan laser cuting engraving Bandung;5;23;Jl. Moch. Toha No.411;Kota Bandung;Layanan pemotongan laser;Proses cepat harga murah ||| Sangat baik. Dan bisa di tunggu.. ||| Berkualitas banget cocok buat yg pengen sablon gambar sendiri ||| Cocok banget yg pengen sablon satuan Dan berkualitas di sini 👍 ||| Terbaik...;5;1;Tinggi
5asec bandung || jalan r e martadinata no 58 babakan ciamis;5asec Bandung;4,4;404;Jalan R.E. Martadinata No.58 Babakan Ciamis;Kota Bandung;Layanan Binatu;beberapa kali ke sini, hasil laundry bagus, tapi sayang banget pas antri di ruang tunggu, bau asap rokok banget sampe pusing 🙏🏼 ||| Temapt Laundry Profesional legend di bandung. Sudah berdiri sejak lama dan sempat terhambat karena Gempuran Pandemi selama dua tahun terakhir ini. Tapi tak menyurutkan para pelanggan loyalnya untuk selalu datang kesini. Selain hasilnya selalu memuaskan, tempatnya juga sangat strategis berada di Pinggir Jalan Utama R.E Marthadinata. Pelayanan perlu ditingkatkan karena cukup wasting time. Kursi Tempat tunggu customer perlu di tambah. Pelayanan cukup ramah. ||| Pelayanan lama sekali, ngambil baju saja lamanya seperti nunggu makanan di restoran. Pegawenya ga ramah sama sekali. ||| Ibu saya DRY CLEAN jaket puff winter, hasilnya seperti di masukkan mesin cuci.. busa nya menggumpal, besi tali nya mengelupas .. diminta pertanggung jawaban HANYA dpt voucher laundry saja gak setara dgn kerusakan.. pernah gagal laundry di sini ya jelas aja saya gak mau laundry lagi di sini karna GAGAL.. di minta ganti rugi barang atau uang malah marah2 blg pertanggung jawaban kami hanya itu.. padahal laundry yang TIDAK SEBESAR NAMA 5ASEC seperti laundry kiloan ,kalau ada kerusakan baju, langsung di ganti !!!!! BURUKKK PELAYAN BURUKKKK APA MBAK MBAK PENJAGA TOKO GAK DENGER UNTUK JAKET DI DRY CLEAN YA HALLO 5ASEC kalau gak bisa tanggung jwb, biar Allah yang bls yaaaa kedzaliman ini... Denger ya mbak mbak penjaga toko dan pengurus semua nya Tuhan yang balas aamiin .. ATI ATI YANG SEMUA CUSTOMER !!!! JANGAN MAU LAUNDRY DI SINI YAAA!!! NAMA SAMA MAHAL AJA PELAYANAN KAKK LIMAAAAA ||| hasil laundry nya lumayan bersih, tapi minus banget staff pria nya ini gaada ramah, senyum gaada terima kasih, gaada ngomong pembayaran pake apa, barangnya apaaja, cuma ngasih struk nyodorin edc sukses kartu ditaruh dimeja padahal posisi saya depanan sama dia, minimal training hr dan sop staff nya bagusin lah, laundry segment premium tapi gaada premium experience nya;5;-1;Tinggi
807garage bandung || paris van java mall resort lifestyle place gl c 31;807GARAGE Bandung;4,9;5122;Paris Van Java Mall Resort Lifestyle Place GL C-31;Kota Bandung;Toko Sepatu;Keren sih ini, respon admin 24 jam, pelayanannya ramah, di tokonya udah kosong stok, akhirnya inden dan ga perlu nunggu lama, tau2 sampe barangnya ke rumah, terimakasih 807 Bandung ||| bingung harus bilang apalagi, puas banget dengan pelayanan nya, alamat pertama salah malah ke tanggerang, harusnya masih di bandung alamatnya, paket udh lunas, khawatir di kirim ke tanggerang, alhamdulillah banget admin dan tim sabar dengan ke bawelan sayah, rekomendasi banget belanj di 807garage. ||| Toko baju ini nyaman dan rapi. Pilihan model cukup lengkap, kualitas bahan bagus, dan harga masih masuk akal. Pelayanannya ramah serta membantu. Lokasi mudah dijangkau dan nyaman di dalam Mal, cocok untuk belanja santai. ||| Pelayanan di toko sepatu ini sangat memuaskan. Pilihan sepatunya lengkap, mulai dari model kasual, olahraga, hingga formal. Kualitas produk sesuai dengan harga yang ditawarkan, dan banyak pilihan ukuran sehingga mudah menemukan yang pas. ||| sangat puas beli barang disini, walaupun harus nunggu bberapa hari, tapi pelayanannya top banget sumpahh... terimakasih kepada admin dan semua staf disana.;5;1;Tinggi
ab salon barber || jl siti munigar;AB Salon & Barber;4,8;20;Jl. Siti Munigar;Kota Bandung;Salon Kecantikan;Bagus nyaman ramah prwlayanannya ||| Tempat nya nyaman .orang nya ramah harga nya murah ||| Tempatnya emang gak kyk salon biasa sih dan pegawainya jg cm 1 org tp hasil guntingan rambutnya emng bagus .. cocok di muka dan rapi. Terus lg murah bgt. Top lah👍 ||| Apik, rapih dan teliti banget ||| Pokonya the best lah;5;1;Tinggi
abacus barbershop || URL:ChIJGQ_fhSLnaC4Rpcvkj3deZrc;Abacus Barbershop;4,9;58;;Kota Bandung;Tempat Cukur Rambut;Tempatnya dipinggir kali , tapi bersih dan hasil gakalah menarik.. coba aja recommend deh kalo menurut gw ||| Nyaman banget tempat nya Beres di cukur bisa jajan lotek yang enak Sambil ngadem di pinggir kali ||| Makasih abacus barbershop! Selalu membuat rapih potongan rambut pacar akuu haha love! Cozy place! Ada aquarium besar, ikan Discus nya lucu lucuu, jadi bikin nyaman dan ga bosan saat waiting list💓 ||| kapster nya ramah dan gaul broo, hasilnya memuaskan. nunggu nya ga jenuh bisa sambil santei duduk2 di sofa ngopi ada aquarium juga mantappp,, ||| Barbershop Abacus class tempat putraku belajar barber..tempatnya tenang,sejuk ,tempat yg baik buat belajar barber,juga utk yg mau cukur rambut..coach yg berpengalaman,sabar,& mudah dimengerti utk belajar Hasil cukur rambutnya ok bngt & kekinian Hayu yg mau belajar barber & yg mau cukur rambut ke Abacus barbershop 👍😍⭐;5;1;Tinggi
abadi fashion pusat || jl sersan bajuri no 17a;Abadi Fashion Pusat;5;32;Jl. Sersan Bajuri No.17A;Kota Bandung;Toko Pakaian;aku udah sering banget kesini, tempat nya enak terus juga harga nya ramah kantong banget si, bajunya bagus bagus SUKAAAAAA, terus malem tadi juga aku baru beli 2 celana 5 baju HARGANYA KURANG DARI 200K😭❤ baju nya bagus bagus banget buat aku pake ke kantor, pokonya sukses terus deh buat tokonya🫶🫶🫶 ||| Worth it sih belanja disini, harganya terjangkau dengan kualitas barang nya dan beberapa merek terkenal. Rekomen pokonya. Tempatnya juga enak nyaman bersih. ||| tempatnya enak, adem, bersih, yg pasti harganya murah semuaa, barangnya juga branded. gapernah nyesel belanja di abadi fashion😍😍 ||| Tokonya mudah dicari, pilhan celana dan baju banyak banget sampe harus lama huntingnya, harganya murah bahkan bisa diskon, tempatnya bersih nyaman, pelayanannya ramah dan informatif, saran saya kalo kesini harus benerbener teliti karena ada beberapa barang branded dan murah pastinya. ||| sering banget kesini dan kalau kesini barang2nya pasti banyak yang baru, tempat nya bersih, wangi, ruang fitting bersih, toilet bersih, penataan baju rapih, pilihan banyak bgt dan semua barang nya rapih, bersih + wangii.;5;1;Tinggi
