title;totalScore;reviewsCount;street;city;state;countryCode;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;categories/8;categories/9;url;categoryName;;;;;
Toko Sembako Mas Gito;;;Jl. Bojong Awi Kaler No.83, RT.03/RW.03;Kota Bandung;Jawa Barat;ID;;+62 813-2486-0776;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Mas%20Gito&query_place_id=ChIJETwdcWXdaC4Rob20jHXkFAY;Grosir Barang Kelontong;;;;;
AHS GANIS;5;2;3M3M+9C7, Jl. Riung Purna I;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=AHS%20GANIS&query_place_id=ChIJww2cZwDDaC4RVKMm8LYtFgM;Toko Kelontong Asia;;;;;
Toko Tata;4.6;47;Jl. Ciwastra No.263;Kota Bandung;Jawa Barat;ID;;+62 878-2336-6457;Ahli tembakau;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Tata&query_place_id=ChIJQScQOynoaC4RbASWqpi2Ot8;Ahli tembakau;;;;;
Alfamart Griya Cempaka Arum;4.2;134;Perum. Griya Cempaka Arum Blok D01 No 25 Rt 04 Rw 07 Kel Cimencrang, Ds;Kota Bandung;Jawa Tengah;ID;;;Minimarket;ATM;Toko Swalayan;;;;;;;;https://www.google.com/maps/search/?api=1&query=Alfamart%20Griya%20Cempaka%20Arum&query_place_id=ChIJIbNCS_vCaC4R4rMmGvlAkTs;Minimarket;;;;;
Joy Kelontong;;;;;;;;+62 895-3347-03660;Toko Kelontong Asia;Service establishment;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Joy%20Kelontong&query_place_id=ChIJddxdQ3jnaC4RdHu-r-SRmfM;Toko Kelontong Asia;;;;;
Nasi Kuning (depan masjid Al Muhajir) A2 no. 1;4.8;4;Blok A2, Komp. Bumi Panyileukan Jalan Panineungan II No.1;Kota Bandung;Jawa Barat;ID;;;Warung nasi;Toko Kelontong Asia;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Nasi%20Kuning%20(depan%20masjid%20Al%20Muhajir)%20A2%20no.%201&query_place_id=ChIJy-1k2tjCaC4R5qWEOMwxFj0;Warung nasi;;;;;
Warung seblak mamah bella;;;Jl. Golf Raya Gg. H Sobana, RT.4/RW.3;Kota Bandung;Jawa Barat;ID;;+62 895-0771-4554;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20seblak%20mamah%20bella&query_place_id=ChIJty-gt1PdaC4R0W7Qxh1DXFM;Toko Kelontong Asia;;;;;
TOKO SALWA;4.4;21;Jl. Desa Cipadung No.47A;Kota Bandung;Jawa Barat;ID;;;Toko outlet;Toko Swalayan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20SALWA&query_place_id=ChIJf9cE9dXCaC4RUNiAXLceiqQ;Toko outlet;;;;;
Warung Mitra Sejati;5;1;3MG7+JQG, Jl. Cibodas Raya;Kota Bandung;Jawa Barat;ID;;+62 22 70713329;Warung Makanan Kecil;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Mitra%20Sejati&query_place_id=ChIJrTRxXvnnaC4RuXT6rzMIkls;Warung Makanan Kecil;;;;;
Warung Sehat 1000 Kebun;4.8;194;Jl. Golf Bar. XIII No.11;Kota Bandung;Jawa Barat;ID;;+62 851-7200-9036;Toko Makanan Alami;Toko Swalayan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sehat%201000%20Kebun&query_place_id=ChIJ6ebnJlTdaC4Ry8UMfudPfLE;Toko Makanan Alami;;;;;
Toko Gin-Gin dan Kosan;3.8;14;Jl. AH. Nasution No.300;Kota Bandung;Jawa Barat;ID;;+62 812-9988-0300;Pondok;Toko Makanan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Gin-Gin%20dan%20Kosan&query_place_id=ChIJO6QVtdfCaC4Rfkc3Hbied_I;Pondok;;;;;
