title;totalScore;reviewsCount;street;city;state;countryCode;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;categories/8;categories/9;url;categoryName;;;;;;;
Ouval Research Buah Batu;4.5;457;Jl. Buah Batu No.64;Kota Bandung;Jawa Barat;ID;https://schofficial.com/en;+62 22 7306697;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Ouval%20Research%20Buah%20Batu&query_place_id=ChIJi3pmDGPoaC4RsqvWQzoy-Aw;Toko Pakaian;;;;;;;
Jaya Aksesoris Tas Bandung;4.8;13;Jl. Karasak Utara IV No.53;Kota Bandung;Jawa Barat;ID;;+62 878-2114-6969;Toko Peralatan Jahit;Toko Pakaian;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Jaya%20Aksesoris%20Tas%20Bandung&query_place_id=ChIJncjLve3paC4RD1n93uyvyW8;Toko Peralatan Jahit;;;;;;;
Elizabeth Ciateul;4.7;359;Jl. Ibu Inggit Garnasih No.15;Kota Bandung;Jawa Barat;ID;http://elizabeth.co.id/;+62 822-1813-6730;Toko Tas;Toko Pakaian;Toko Aksesori Pakaian;Toko Sepatu;;;;;;;https://www.google.com/maps/search/?api=1&query=Elizabeth%20Ciateul&query_place_id=ChIJUWz_DDfpaC4RSvCxfVKjjM8;Toko Tas;;;;;;;
Pabrik Tas CV. Kreasi Cipta Makmur;5;29;Jl. Leuwisari Raya No.39;Kota Bandung;Jawa Barat;ID;https://kreasiciptamakmur.com/;+62 818-389-966;Toko Tas;Toko Suvenir;Toko Tas Tangan;;;;;;;;https://www.google.com/maps/search/?api=1&query=Pabrik%20Tas%20CV.%20Kreasi%20Cipta%20Makmur&query_place_id=ChIJkUIv4GTpaC4RzqQ9mkpKHSM;Toko Tas;;;;;;;
Tegep Boots Workshop and Showroom;4.6;51;Jl. Pasirjaya VI No.18;Kota Bandung;Jawa Barat;ID;http://www.tegepboots.com/;+62 811-1631-122;Pabrik sepatu;Toko Tas;Toko Aksesori Pakaian;Toko Mantel Kulit;Pabrikan barang kulit;Toko Barang-barang Kulit;;;;;https://www.google.com/maps/search/?api=1&query=Tegep%20Boots%20Workshop%20and%20Showroom&query_place_id=ChIJUeebwn7oaC4RVBWcqwkSQCo;Pabrik sepatu;;;;;;;
Mr. Quilting;4.7;121;Jl. Cihapit No.33;Kota Bandung;Jawa Barat;ID;https://mrquilting.com/;+62 811-2209-099;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mr.%20Quilting&query_place_id=ChIJr7IOjarpaC4R5di7Ft0_PF4;Toko Tas;;;;;;;
Mr. Koelit Workshop;4.8;35;Gg. Polisi No.60/5A;Kota Bandung;Jawa Barat;ID;https://www.plugo.shop/mrkoelit;+62 852-9460-6688;Pabrikan barang kulit;Toko Barang-barang Kulit;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mr.%20Koelit%20Workshop&query_place_id=ChIJF-tomYfmaC4R-tx3ucB8o_Y;Pabrikan barang kulit;;;;;;;
Lumba Lumba;3.7;80;Jl. Sudirman No.156;Kota Bandung;Jawa Barat;ID;;+62 22 4233845;Reparasi Koper;Toko Tas;Toko Tas Tangan;Toko Reparasi Sepatu;;;;;;;https://www.google.com/maps/search/?api=1&query=Lumba%20Lumba&query_place_id=ChIJpydpnQ_maC4RdX_B079NbxA;Reparasi Koper;;;;;;;
Onassis Leather - Shoe Bag Repair;4.8;4;jalan cibaduyut raya no 189, Jl. Cibaduyut No.189;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/onassisleather/;+62 22 5405294;Toko Barang-barang Kulit;Toko Sepatu;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Onassis%20Leather%20-%20Shoe%20Bag%20Repair&query_place_id=ChIJv7O9zbjoaC4Re-CBwjTzHgQ;Toko Barang-barang Kulit;;;;;;;
Id card ; dompet & sovenir PUSAT UMKM PENGRAJIN KULIT BANDUNG;5;3;Kontrakan pa asep, Jl. Cijawura Hilir, RT.02/RW.14;Kota Bandung;Jawa Barat;ID;;+62 857-7173-2942;Pemasok Barang-Barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Id%20card%20%2C%20dompet%20%26%20sovenir%20PUSAT%20UMKM%20PENGRAJIN%20KULIT%20BANDUNG&query_place_id=ChIJcTRoC3_paC4ReSwbZjZSJt4;Pemasok Barang-Barang Kulit;;;;;;
Istana Sepatu;4.3;1565;Jl. Dalem Kaum No.25;Kota Bandung;Jawa Barat;ID;;+62 813-9555-2327;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Istana%20Sepatu&query_place_id=ChIJL9wwEyTmaC4Rbgp2ImwZkSs;Toko Sepatu;;;;;;;
Label Kulit - Saerah Bandung;4.5;23;Jl. Leuwi Panjang No.144;Kota Bandung;Jawa Barat;ID;http://www.facebook.com/saerah.bandung;+62 878-2300-0092;Produsen;Toko;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Label%20Kulit%20-%20Saerah%20Bandung&query_place_id=ChIJ92XeXb7oaC4RiSmiAUJZhy0;Produsen;;;;;;;
