"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Sawargi Salon Mobil panggilan Bandung","5","10","Jl. Jatihandap, RT.03/RW.06","Kota Bandung","Jawa Barat","ID",,"+62 822-9506-5206","Bengkel Mobil",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sawargi%20Salon%20Mobil%20panggilan%20Bandung&query_place_id=ChIJYWm_i8vnaC4RYd-_Og79ihs","Bengkel Mobil"
"Blinkz Beauty Lash Bandung","5","1","240 G, Jl. Cikadut No.240G","Kota Bandung","Jawa Barat","ID",,"","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Blinkz%20Beauty%20Lash%20Bandung&query_place_id=ChIJrdVuOG7daC4RNqjqtzfPfBk","Salon Kecantikan"
"Rey Salon","5","4","Jl. H. Saodah I No.178/38","Kota Bandung","Jawa Barat","ID",,"","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rey%20Salon&query_place_id=ChIJV0L4kVHnaC4RQ4mFIwGvbww","Salon Rambut"
"Melati Salon","5","1","4M33+3Q7, Jl. Padasuka","Kota Bandung","Jawa Barat","ID",,"+62 22 91223454","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Melati%20Salon&query_place_id=ChIJG5lnWZDnaC4RDiMX-JtyIO8","Salon Kecantikan"
"CENIK Wellness Cafe Bandung | Solusi Bugar dan Melangsing Bersama (MESRA)","5","28","Jl. Jatihandap No.99","Kota Bandung","Jawa Barat","ID","https://linktr.ee/ojan.uje","+62 896-9609-9866","Pusat Kebugaran","Salon Kecantikan","Konsultan Kesehatan","Pelatih Pribadi","Pusat Perawatan Ibu Hamil","Layanan Penurunan Berat Badan",,,"https://www.google.com/maps/search/?api=1&query=CENIK%20Wellness%20Cafe%20Bandung%20%7C%20Solusi%20Bugar%20dan%20Melangsing%20Bersama%20(MESRA)&query_place_id=ChIJ_-CopIXnaC4RnQEawlZKitc","Pusat Kebugaran"
"kursus salon bandung mia salman",,,"belakang ruko jnt, Jl. Jatihandap Timur No.34, RT.03/05","Kota Bandung","Jawa Barat","ID",,"+62 813-8130-2360","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=kursus%20salon%20bandung%20mia%20salman&query_place_id=ChIJRfBCpdDJaS4RyZvGkkxKocA","Salon Rambut"
"Alegro Beauty salon","5","6","Green valley residence No.kavling 25","Kota Bandung","Jawa Barat","ID",,"","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alegro%20Beauty%20salon&query_place_id=ChIJZZJuY6HnaC4RfA9tybWVX1Y","Salon Kecantikan"
"Indri Salon","4.4","36","Jl. Jamaras III Atas No.120","Kota Bandung","Jawa Barat","ID",,"+62 821-1901-8885","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Indri%20Salon&query_place_id=ChIJaTzsOGbnaC4RWwsq1Vf013g","Salon Rambut"
"Rumah Cantik Mallova","4","6","Jl. Padasuka No.131","Kota Bandung","Jawa Barat","ID",,"","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rumah%20Cantik%20Mallova&query_place_id=ChIJR4bpnAnnaC4RMS96lBT_umM","Salon Kecantikan"
"Moxie Hair Studio 202 (Barbershop)","4.9","743","Jl. Cikutra No.202","Kota Bandung","Jawa Barat","ID",,"+62 821-2047-7887","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Moxie%20Hair%20Studio%20202%20(Barbershop)&query_place_id=ChIJf5RCtePnaC4RQW6ZBK2DYmE","Tempat Cukur Rambut"
"Golden Barber Dago Bandung","5","1307","Jl. Ir. H. Juanda No.294A","Kota Bandung","Jawa Barat","ID",,"+62 812-1480-7192","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Golden%20Barber%20Dago%20Bandung&query_place_id=ChIJrW_wQjLnaC4RhNlH1ScuTEY","Tempat Cukur Rambut"
"RD Salon","4","17","Jl. Arcamanik","Kota Bandung","Jawa Barat","ID",,"+62 813-2218-3080","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RD%20Salon&query_place_id=ChIJBZqQb2_daC4RujuZHhJamWI","Salon Rambut"
"Salon Millie",,,,,,,"https://www.facebook.com/profile.php?id=100087392570311","+62 812-2392-0741","Salon Kecantikan","Service establishment",,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20Millie&query_place_id=ChIJdz6arYL3qSsRY9-yy8K-j_g","Salon Kecantikan"
"Barbershop Raden",,,,,,,,"+62 812-1432-5798","Tempat Cukur Rambut","Service establishment",,,,,,,"https://www.google.com/maps/search/?api=1&query=Barbershop%20Raden&query_place_id=ChIJ8Sjsbc_kiQQR0nYcglMm9pM","Tempat Cukur Rambut"
"CUKUR HADE BARBERSHOP - LENGKONG KECIL","5","1899","Jl. Lengkong Kecil No.30A","Kota Bandung","Jawa Barat","ID","https://instagram.com/cukurhade3.barbershop?igshid=MzRlODBiNWFlZA==","+62 822-1665-5665","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=CUKUR%20HADE%20BARBERSHOP%20-%20LENGKONG%20KECIL&query_place_id=ChIJFYOSO93naC4RPX5F1hvExXA","Tempat Cukur Rambut"
